"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"SIK1B",5.35374221591844e-10,4.28730418423218,0.333,0.015,1.63155294030114e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TENM2",1.93367733424373e-09,5.95030870359972,0.167,0.004,5.89288167610776e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DPP6",2.08915393051239e-09,4.69347914958978,0.167,0.004,6.36669660323652e-05,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ENTPD6",3.80293141155317e-09,3.77233850845395,0.5,0.038,0.000115894334767083,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ARFGEF3",6.95751750630836e-09,7.44914643648818,0.167,0.004,0.000212030346004747,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"KIAA1211",7.1267312877754e-09,7.48018808152272,0.167,0.004,0.000217187135994955,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINC01933",7.29994463003772e-09,6.08245527684928,0.167,0.004,0.0002224658126004,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ARHGEF5",8.34560729651586e-09,4.9295594361252,0.333,0.018,0.000254332382361321,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"DPP10",8.42849215198188e-09,4.96836572597333,0.167,0.004,0.000256858298331648,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RASA4B",2.31351954738029e-08,7.83883583670408,0.167,0.005,0.000705045082064143,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"FAM83D",6.50721941524277e-08,3.50265313779804,0.5,0.045,0.00198307511679523,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CCBE1",7.36844194643908e-08,5.30549785495068,0.167,0.005,0.00224553268317731,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CHST10",8.01281291054133e-08,5.26689189922293,0.167,0.005,0.00244190473448747,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RPUSD1",9.16638219986698e-08,4.48872477361723,0.333,0.021,0.00279345497540946,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RAD51C",1.05906663263029e-07,4.02952177825199,0.5,0.048,0.00322750556294081,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CCDC30",1.35292404397653e-07,3.47436590976341,0.333,0.021,0.00412303602401846,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"HIST1H2AD",1.82190283010471e-07,5.50434843744948,0.167,0.005,0.00555224887474409,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CCR2",1.97166820963127e-07,5.42682320664917,0.167,0.005,0.00600865886885128,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"EIF3C",2.83921844200638e-07,4.6700742915316,0.333,0.022,0.00865251820201443,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGKC",3.20228350605235e-07,4.56796993036806,0.833,0.151,0.00975895898469454,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CIT",4.15690069879064e-07,4.81532471065372,0.167,0.006,0.0126681548795645,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"GTF2H2",4.25949967958305e-07,3.99181761295155,0.333,0.023,0.0129808252735293,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ADAMTSL1",4.396351679547e-07,5.19430426914781,0.167,0.006,0.0133978817434195,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PLEKHA7",9.02549553452397e-07,3.96247264708113,0.667,0.098,0.0275051976414618,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"APOBEC3F",1.0406851381884e-06,4.34338299886935,0.333,0.025,0.0317148795862916,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SYTL1",1.0547390753481e-06,4.53446097957375,0.5,0.056,0.0321431733212333,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MTRNR2L12",1.14872199239855e-06,5.40350614559198,0.333,0.025,0.0350073027183459,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC084816.1",1.66783781358544e-06,5.69088403949226,0.167,0.006,0.0508273573690164,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINC01320",1.72495165321356e-06,5.20453865530221,0.167,0.006,0.0525679016316833,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AL355490.2",1.72495165321356e-06,5.07928852348932,0.167,0.006,0.0525679016316833,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"B4GALT6",3.10413042744339e-06,5.75236830209677,0.167,0.007,0.0945983747763373,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"OTOA",3.10413042744339e-06,5.36049705138044,0.167,0.007,0.0945983747763373,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"NRG1",3.15431151082732e-06,4.74962637806027,0.167,0.007,0.0961276432924626,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CXCL10",3.76023377525381e-06,3.25685224282757,0.167,0.007,0.11459312430086,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PTCHD1-AS",5.54997977430722e-06,4.88463148088745,0.167,0.007,0.169135633622012,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC126696.3",9.44273440288567e-06,5.14914554141247,0.167,0.007,0.287767330927941,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ARL9",9.58178613221873e-06,4.40385073783256,0.167,0.007,0.292004932379366,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"U2AF1L5",9.8657800211541e-06,4.73908362837272,0.167,0.007,0.300659646144671,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"LINC00910",1.21682766943506e-05,3.75119829106325,0.5,0.067,0.370828232260336,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MYO15B",1.56698109215345e-05,4.02208078995225,0.333,0.03,0.477537487833764,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SEPTIN1",1.71345086147588e-05,3.60950946713556,0.667,0.133,0.522174150034774,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"OAS1",1.75112276872923e-05,5.49278296731121,0.333,0.032,0.533654663770232,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CPM",1.76415772126466e-05,4.92909847710377,0.333,0.031,0.537627065555405,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RPL13A",2.045439280658e-05,3.19566440812973,1,0.651,0.623347620780527,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TMEM107",2.19177833012784e-05,4.14208867080337,0.5,0.071,0.667944446106459,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC145207.5",2.28553061247443e-05,4.39258408032352,0.167,0.008,0.696515454151582,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RPL37A",2.35490528901197e-05,2.40789317017618,1,0.675,0.717657386826399,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RPL27A",2.61516112782481e-05,2.17202315125449,1,0.677,0.796970353704609,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SNX8",2.79038273904721e-05,3.00985622333786,0.333,0.032,0.850369139724637,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"HBB",0.00240496242966705,-7.9496055310947,0,0.707,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"TIMP1",0.000783072430756731,-7.36944367309422,0,0.789,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"MGP",0.00517270672833614,-7.25922246955694,0,0.645,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"RNF26",4.40279887823014e-05,6.92228062685578,0.167,0.009,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AP002360.1",0.00119447968905083,6.43437190135839,0.167,0.014,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AL590764.1",0.00185683719318721,6.30167651123696,0.167,0.015,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MT-ND2",0.000584730509708282,-6.28186621793261,0,0.809,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"FN1",0.00818646282087783,-6.24402076144832,0,0.604,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"MEIKIN",0.00387531614010819,6.18277103614001,0.167,0.017,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SYCE2",0.00185683719318721,6.04089806448569,0.167,0.015,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PTP4A3",0.00384892161736185,6.00619211840585,0.167,0.017,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"SLC2A9",0.00430571771617477,5.95847086696743,0.167,0.017,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"FAM71F2",0.000117476651522675,5.84667364119425,0.167,0.01,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"MATK",0.0494958986070155,5.81125471668287,0.167,0.031,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"C3AR1",0.00384892161736185,5.80999739249749,0.167,0.017,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"PCYT2",0.00476538340491883,5.77934551383906,0.167,0.017,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"AC011447.3",0.019325615376012,5.68376375018557,0.167,0.024,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"HBA1",0.0980428027072691,-5.67231884937829,0,0.325,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"COG1",0.000230451132946184,5.59577761023212,0.333,0.042,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IGFBP7",0.0464169735789696,-5.55878789334883,0,0.422,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"RNF220",0.00853415213384779,5.53484471762216,0.333,0.068,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RAB11A",0.00827862606740583,-5.39823937588826,0,0.603,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"AC009226.1",0.0052888242392097,5.38933789891184,0.167,0.018,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"BICDL1",0.0111244399601192,-5.29678825860281,0,0.576,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"KLHL22",0.000383692203220931,5.2763031082149,0.333,0.045,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"RGCC",0.0103169395236038,-5.27099230991814,0,0.583,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"AC239799.2",4.68734558566736e-05,5.0987662994685,0.167,0.009,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"ALG8",0.0669596437612531,5.07540245299122,0.167,0.035,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"CXXC5",0.0385393500176341,5.07260665410853,0.167,0.029,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"IER2",0.00782652574365955,-5.06901338196806,0,0.608,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"HSD3B7",3.38265642907812e-05,5.00904126057219,0.167,0.009,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"OXA1L",0.0119799914694128,4.97912844505357,0.333,0.077,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"COL1A1",0.0424010770065178,-4.95613907313075,0,0.433,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"CD63",0.0159573837092378,-4.95015027829915,0,0.54,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Rupture_like"
"FBXO44",0.0706760617860368,4.90892269472699,0.167,0.035,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"NKIRAS2",0.0671850788145884,4.90638041477719,0.167,0.035,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
"TMEM176B",0.0137038668466511,4.89776465505822,0.167,0.022,1,"Unruptured_vs_Rupture_like","stability_group","Window_like","Rupture_like","up_in_Window_like"
