"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:1900180","regulation of protein localization to nucleus","38/2423","146/18986",0.26027397260274,2.03943939076996,4.82222706741245,1.07541728506429e-05,0.000264859914207262,0.000202654359282147,"7040/1029/3059/83593/3985/2534/3458/7037/149628/5663/2033/9818/3320/2932/1387/25942/51366/7534/3716/9531/10575/3717/25885/11261/6794/54984/7175/23435/25937/83667/4088/1432/51068/207/55696/51548/53371/7341",38,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0072540","T-helper 17 cell lineage commitment","12/2423","24/18986",0.5,3.9178704085844,5.47068937469848,1.11051209663499e-05,0.000272391463052664,0.000208417032770264,"3662/30009/969/3718/4063/6776/10538/2033/23476/6774/3716/3570",12,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002440","production of molecular mediator of immune response","53/2423","230/18986",0.230434782608696,1.80562723178238,4.70154341311862,1.12366823624336e-05,0.000274502596659612,0.000210032341110733,"3553/7293/924/940/30009/5788/2625/8140/10225/9466/7040/3718/7805/1235/10666/7133/6504/8809/115004/10892/10865/4092/7037/10538/5423/3329/3566/7468/7124/972/7186/959/8013/9261/163486/165918/6830/3134/3105/567/5130/2821/56259/80762/6885/9188/6929/5585/7528/8767/4437/7518/51111",53,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0031589","cell-substrate adhesion","75/2423","361/18986",0.207756232686981,1.62792399248659,4.60707247763069,1.14335686115241e-05,0.0002771971686371,0.000212094060262429,"10631/1236/9806/5795/342184/10225/5613/3676/2185/57580/64098/1029/8631/6789/4739/6480/3683/201294/7412/4851/59339/3655/5328/2335/5291/8573/3689/64005/916/3672/673/1021/960/7074/5770/83706/123720/6548/10420/613/9404/5921/23332/2824/8874/6904/11151/5880/7402/2932/1277/23499/596/10109/3685/3987/7057/51057/3717/6385/3688/23380/9748/6722/5786/7248/5728/7422/4088/1281/81848/57669/29780/87/83700",75,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0010833","telomere maintenance via telomere lengthening","24/2423","75/18986",0.32,2.50743706149402,5.00293752722113,1.14388622788594e-05,0.0002771971686371,0.000212094060262429,"2643/64282/80169/140609/3320/3183/54464/472/3192/3178/25913/5981/5073/10575/5394/3326/3181/100134934/5371/54984/1736/3104/54386/55226",24,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0050821","protein stabilization","54/2423","236/18986",0.228813559322034,1.79292374630134,4.68812622761283,1.15756152058603e-05,0.000278275944829327,0.000212919472815699,"9026/2043/10437/11322/7305/1029/6789/11040/147138/3304/6907/4092/6674/22848/57602/3329/55729/3303/55294/23162/972/79612/149628/2033/3320/8239/902/1385/9531/23032/8725/10575/9093/3326/11140/2776/11261/55664/54765/5371/23673/7248/64175/11235/58525/5728/4088/79657/573/8774/9770/6400/7341/208",54,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0097191","extrinsic apoptotic signaling pathway","54/2423","236/18986",0.228813559322034,1.79292374630134,4.68812622761283,1.15756152058603e-05,0.000278275944829327,0.000212919472815699,"3553/5366/597/7128/5788/7185/7040/50486/6789/147138/841/7133/3458/939/3655/3304/1540/162989/117584/3303/204851/7124/7186/959/8567/57448/4050/6198/5894/2932/6498/11124/6672/596/4170/3685/9531/7057/3717/9181/3383/9994/4089/5371/9812/2730/4088/2931/5970/10197/2309/3570/51741/207",54,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0002687","positive regulation of leukocyte migration","39/2423","152/18986",0.256578947368421,2.01048613072094,4.78402427698369,1.19116953506961e-05,0.000285218927563891,0.000218231812064132,"6364/1236/3576/8784/5764/6348/5795/3071/3676/7040/9750/2185/23604/199/1235/4739/6504/6693/81704/6352/57118/101/6351/7124/63940/972/65125/11151/9943/27347/5880/6868/7057/58515/961/3383/7422/3570/83700",39,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:2000516","positive regulation of CD4-positive, alpha-beta T cell activation","18/2423","48/18986",0.375,2.9384028064383,5.14292391494604,1.22733461688437e-05,0.000292716880564438,0.000223968780097975,"940/3071/84807/5588/84433/9308/3561/10892/3458/3122/916/64410/3566/3123/2033/23476/5914/8767",18,"STA_vs_Ruptured_de_novo","down","GO_BP"
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","35/2423","131/18986",0.267175572519084,2.09351853893823,4.80353585299823,1.27943115729637e-05,0.000302781756341292,0.000231669798041433,"3304/9683/4092/23429/6599/3303/28951/55743/11011/1453/5663/8239/51322/2932/8473/64326/5601/3326/51667/25831/27351/51377/22933/2272/2768/25898/1459/2931/207/150684/8667/51548/3300/369/7341",35,"STA_vs_Ruptured_de_novo","down","GO_BP"
