"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0046629","gamma-delta T cell activation","8/142","26/18986",0.307692307692308,41.1397616468039,17.7789137027078,1.11904665511702e-11,1.26141425735135e-09,9.97980204124826e-10,"917/919/3071/6932/120425/5788/916/3702",8,"STA_vs_Unruptured","down","GO_BP"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","17/142","284/18986",0.0598591549295775,8.00342194009125,10.3225824690596,4.3857687628868e-11,4.68353937889333e-09,3.70542790216198e-09,"1236/7409/6693/729230/864/3561/939/11151/923/3071/3932/5588/5788/6352/916/8631/3575",17,"STA_vs_Unruptured","down","GO_BP"
"GO:0006935","chemotaxis","21/142","472/18986",0.0444915254237288,5.94870494151349,9.45094759966978,5.2726270029069e-11,5.34908009444905e-09,4.23197693654369e-09,"1236/719/7409/6693/1234/7852/51411/729230/3576/1901/5142/6480/1880/11151/5293/3071/120425/3627/5588/63940/6352",21,"STA_vs_Unruptured","down","GO_BP"
"GO:0042330","taxis","21/142","474/18986",0.0443037974683544,5.92360492066322,9.42342161128914,5.7021217355269e-11,5.5093357149448e-09,4.3587647351772e-09,"1236/719/7409/6693/1234/7852/51411/729230/3576/1901/5142/6480/1880/11151/5293/3071/120425/3627/5588/63940/6352",21,"STA_vs_Unruptured","down","GO_BP"
"GO:0050870","positive regulation of T cell activation","16/142","260/18986",0.0615384615384615,8.22795232936078,10.1869076533121,1.1246205947888e-10,1.03720690310295e-08,8.20596367010968e-09,"1236/7409/6693/729230/864/3561/939/11151/923/3071/3932/5588/5788/6352/916/3575",16,"STA_vs_Unruptured","down","GO_BP"
"GO:0071674","mononuclear cell migration","15/142","231/18986",0.0649350649350649,8.68209255533199,10.1974108253532,2.09647526545995e-10,1.84945578852967e-08,1.46321500220889e-08,"1236/719/6693/1234/7852/64005/729230/1901/1880/11151/5293/120425/3683/3627/6352",15,"STA_vs_Unruptured","down","GO_BP"
"GO:0072678","T cell migration","10/142","76/18986",0.131578947368421,17.5926612305411,12.5817196315841,2.49322015268298e-10,2.1078098707474e-08,1.66761435650945e-08,"6693/64005/729230/1901/1880/11151/5293/3683/3627/6352",10,"STA_vs_Unruptured","down","GO_BP"
"GO:0002696","positive regulation of leukocyte activation","18/142","371/18986",0.0485175202156334,6.48699745643673,9.26516416012881,3.52487000242316e-10,2.86078449396664e-08,2.26333758050329e-08,"1236/7409/6693/729230/864/3561/939/1880/11151/923/3071/3932/914/5588/5788/6352/916/3575",18,"STA_vs_Unruptured","down","GO_BP"
"GO:0032944","regulation of mononuclear cell proliferation","15/142","245/18986",0.0612244897959184,8.18597298074159,9.8273215617336,4.76529695291241e-10,3.71876442979203e-08,2.94213678266859e-08,"6693/10077/26191/729230/22806/6480/1880/11151/923/3071/5588/5788/6352/916/944",15,"STA_vs_Unruptured","down","GO_BP"
"GO:0022409","positive regulation of cell-cell adhesion","17/142","336/18986",0.0505952380952381,6.76479711602951,9.25501598694269,5.95136868833375e-10,4.31261681022471e-08,3.41196889086803e-08,"1236/7409/6693/729230/864/3561/939/11151/923/3071/3932/5588/5788/6352/916/8631/3575",17,"STA_vs_Unruptured","down","GO_BP"
