"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"ST6GAL1",7.61381024211319e-25,-5.18760071040759,0.024,0.667,2.320308671284e-20,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SLA2",1.20110205066019e-24,-5.97837812508321,0.006,0.333,3.66035849938694e-20,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GBP5",6.01048460423849e-24,-4.91908356184469,0.006,0.333,1.83169518314168e-19,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"NETO2",8.98740209425984e-24,-6.55998573443152,0.006,0.333,2.73891078822569e-19,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"HBA2",4.79542350929012e-23,-4.71811338127291,0.014,0.5,1.46140531445616e-18,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"BIN2",7.83128013352849e-23,-5.83554972781441,0.015,0.5,2.38658262069281e-18,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CAMK4",1.01035644087748e-21,-5.48461775008965,0.028,0.667,3.07906125357413e-17,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD3G",2.21439950177446e-21,-4.84206588818988,0.027,0.667,6.74838248165765e-17,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PIK3CD",2.64138648379755e-21,-4.6647682071555,0.016,0.5,8.04962530937304e-17,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CXCL10",3.85014299107278e-21,-4.11976467813738,0.002,0.167,1.17333107652943e-16,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD27",4.31242724368111e-21,-5.17255043468434,0.007,0.333,1.31421220251182e-16,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RHBDF2",4.40046114822353e-21,-7.39179483351786,0.007,0.333,1.34104053492112e-16,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"APBA2",1.02946247508375e-20,-6.75227213612727,0.007,0.333,3.13728689281772e-16,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"THEMIS",1.04199169818112e-20,-5.25513484481402,0.029,0.667,3.17546970020695e-16,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC024022.1",4.76648050883202e-20,-7.78104198576944,0.002,0.167,1.45258493506656e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC245014.3",6.0538629348423e-20,-7.63649758100433,0.008,0.333,1.84491472939319e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IKZF3",6.35154202984531e-20,-5.447960160214,0.017,0.5,1.93563243359536e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SERPINB9P1",7.08520921144994e-20,-7.80181998103432,0.008,0.333,2.15921750718937e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD52",1.20847115669585e-19,-5.59178111256109,0.031,0.667,3.6828158500306e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PLAC8",1.33694472662991e-19,-6.13243279643986,0.008,0.333,4.07433905440466e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PTPRC",2.35214871166536e-19,-3.81977712460488,0.069,1,7.16817319880018e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"LINGO1",3.11260815392853e-19,-8.21542455234808,0.018,0.5,9.48567334909718e-15,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SPN",4.34628938946054e-19,-6.26944362160877,0.008,0.333,1.3245316914381e-14,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"NCKAP1L",5.29696272249109e-19,-4.57381608823324,0.008,0.333,1.61424938967916e-14,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AL136114.1",5.48149211452255e-19,-6.76986655563137,0.002,0.167,1.67048472190075e-14,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"WAS",1.80707413485529e-18,-4.57324639211492,0.018,0.5,5.5070584259715e-14,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AL355490.2",4.47024964558112e-18,-7.81560662347294,0.002,0.167,1.36230857949084e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"DLG1-AS1",4.63053965167066e-18,-7.15847529771088,0.002,0.167,1.41115695884663e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"AC127526.2",5.05651090382292e-18,-6.45126069904709,0.002,0.167,1.54097169794004e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GIMAP7",5.78955706017585e-18,-5.60590451680517,0.019,0.5,1.76436751408859e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CXCR4",1.72557691447096e-17,-5.84284255955502,0.035,0.667,5.25869564685024e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MYO1G",2.52830303233318e-17,-5.84274223218179,0.009,0.333,7.70500349103537e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RASA4B",3.05988040298779e-17,-9.47851742070532,0.002,0.167,9.3249855281053e-13,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GNLY",6.87257193735952e-17,-4.96086814560081,0.009,0.333,2.09441629791031e-12,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CD2",3.41889692660618e-16,-4.37253483945877,0.037,0.667,1.04190883838323e-11,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PPP1R16B",4.75805691588346e-16,-4.73265782836546,0.021,0.5,1.45001784511548e-11,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TCF7",1.20391851192942e-15,-4.50640122214355,0.039,0.667,3.6689416651049e-11,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PCED1B-AS1",1.61885137110668e-15,-5.52634694835803,0.022,0.5,4.93344955344762e-11,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"FMN1",3.275684540348e-15,-5.52744646393499,0.01,0.333,9.98264863671054e-11,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RGS1",1.01940532236234e-14,-4.86918707710428,0.023,0.5,3.10663771989924e-10,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GPR183",1.05181294851864e-14,-5.0510817939829,0.024,0.5,3.20539996061055e-10,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"ARFGEF3",1.44377636849566e-14,-8.17883674784405,0.003,0.167,4.39990848299054e-10,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CEACAM21",1.44377636849566e-14,-7.6496546545411,0.003,0.167,4.39990848299054e-10,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RASGRP2",4.45625879128501e-14,-6.02077275825195,0.025,0.5,1.35804486664411e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CORO1A",4.92985205014281e-14,-5.04877747557946,0.043,0.667,1.50237241228102e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"OTOA",5.02346754094222e-14,-7.47187346175525,0.003,0.167,1.53090173310214e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"CCR2",6.39137093466517e-14,-5.55722670382398,0.003,0.167,1.94777029233921e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"S1PR1",1.40671335156219e-13,-5.46869688126075,0.011,0.333,4.28695893888576e-09,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
