"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"B3GALT6",1.41329788747986e-05,0.67363829255839,0.078,0.04,0.430702531209488,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TBCCD1",1.41382930096003e-05,0.328755380863377,0.082,0.043,0.430864479467569,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GLCE",1.41412373718142e-05,0.206080271176976,0.141,0.089,0.430954208906037,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"C2CD5",1.42252528206105e-05,0.5206941220018,0.141,0.09,0.433514579708104,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PAXX",1.42456187411589e-05,0.22582505427945,0.309,0.231,0.434135231136818,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"GPN2",1.43736598156408e-05,-1.13175293553536,0.065,0.1,0.438037282881654,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TBC1D9B",1.4422528586916e-05,0.459878917989975,0.146,0.095,0.439526558686265,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RCBTB2",1.44491393163468e-05,0.63172731837411,0.092,0.051,0.440337520665668,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SPATA33",1.45731816326107e-05,0.704871317745896,0.083,0.044,0.444117710253811,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PLCB1",1.46900067523166e-05,-0.700089037617573,0.248,0.3,0.447677955776848,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TUSC3",1.47768917011246e-05,1.4927873198366,0.068,0.034,0.450325774591771,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"JAM3",1.48078991225413e-05,-0.307550664188914,0.298,0.21,0.451270725759447,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"AFG3L2",1.48520034885401e-05,0.426051410436827,0.19,0.131,0.452614806313261,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ARFGAP2",1.49376862016308e-05,0.439770251533479,0.163,0.109,0.455225986994699,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"IQCJ-SCHIP1",1.49766289697808e-05,1.60750919564499,0.061,0.028,0.456412767854069,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MIIP",1.50808097743882e-05,0.462757215422833,0.089,0.049,0.459587677874481,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RAB2B",1.5171555747635e-05,-0.783194823724449,0.114,0.157,0.462353161409176,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"BAG4",1.51898617302916e-05,-1.21647326281274,0.082,0.119,0.462911036230638,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"SLC49A4",1.53076942325476e-05,-1.33605767815536,0.075,0.111,0.466501981736887,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"FAM171A1",1.53372501373813e-05,0.693023806193979,0.092,0.051,0.467402697936695,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TOX4",1.53872156457947e-05,0.141758351362583,0.298,0.22,0.468925396805593,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"BCL9",1.55487814064948e-05,1.01515754610402,0.074,0.038,0.47384911336293,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RAPH1",1.56600753484015e-05,-0.992322010741718,0.105,0.147,0.477240796242535,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"CNIH3",1.59470824736785e-05,0.69213506848065,0.059,0.026,0.485987338385351,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ZNF567",1.6058986261178e-05,0.460523648726789,0.124,0.075,0.489397606309401,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TTC38",1.62661507837038e-05,0.76734209801428,0.057,0.025,0.495710945133372,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PRPS1",1.62695630789968e-05,-0.651553213600773,0.111,0.154,0.495814934832428,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"PDCD11",1.63401458776557e-05,0.62143246398047,0.081,0.043,0.497965945621557,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PRPSAP1",1.63716742264903e-05,0.304658808232482,0.154,0.101,0.498926772052292,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TRAPPC6B",1.64146614252043e-05,0.223057634035141,0.156,0.103,0.5002368069331,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"VAMP1",1.66507432992121e-05,-1.01569723129593,0.027,0.051,0.50743140204349,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"KPNA3",1.69198826699974e-05,-0.887448294928758,0.229,0.273,0.515633424368171,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"VHL",1.70062683340983e-05,-0.735489162783157,0.081,0.119,0.518266027481646,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TMEM41A",1.7040534225264e-05,0.715080392880524,0.079,0.041,0.519310280514921,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"OTUD4",1.70718185348979e-05,-0.773773909051374,0.14,0.186,0.520263669851014,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ZNF600",1.72377341003319e-05,-0.800012453112898,0.053,0.086,0.525319946707613,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"PITPNA",1.72679227089789e-05,-0.808879562137551,0.187,0.232,0.526239944556131,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ATG4A",1.7349204819345e-05,0.85873437430992,0.065,0.031,0.52871701686954,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ZNF460",1.73906532128512e-05,0.71124544096747,0.077,0.04,0.529980156661641,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"PAQR3",1.75693070322249e-05,0.474321373266874,0.109,0.064,0.535424631807055,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"VRK1",1.76646213501457e-05,-0.85942559205404,0.061,0.095,0.538329335645689,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"EFTUD2",1.76703495497379e-05,-0.641643873992869,0.085,0.125,0.538503902528262,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"MAP7D1",1.76847855459971e-05,-0.719225534119555,0.185,0.232,0.538943839514262,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ALKBH7",1.78101462830272e-05,0.259464923994462,0.377,0.3,0.542764207975255,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CREBL2",1.80033610875316e-05,0.140832413623718,0.17,0.113,0.548652429142524,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"APBB1",1.81852409364046e-05,-0.846027327113735,0.059,0.093,0.55419521753693,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"ZNF429",1.82620403620974e-05,0.606105166919837,0.092,0.051,0.556535680034919,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"ACTR8",1.82983181951026e-05,0.708185078742241,0.073,0.037,0.557641246995751,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SPECC1",1.86741153683044e-05,1.30841410246115,0.075,0.039,0.569093665849078,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"RIC8B",1.88175739287909e-05,-1.15158745302349,0.101,0.14,0.573465565479904,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"APOL2",1.89234928172133e-05,0.704713119211617,0.089,0.049,0.576693443604576,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"NIN",1.90530400154012e-05,-0.834208533510098,0.182,0.229,0.58064139446935,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"BLOC1S6",1.90612028460381e-05,0.189544849170356,0.293,0.219,0.580890156733012,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TOMM20",1.91027446325157e-05,-0.402063138639283,0.635,0.619,0.582156142675916,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"TRDMT1",1.92639881540673e-05,-1.0688419247018,0.072,0.107,0.587070038995202,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_Ruptured_recurrent"
"QPCT",1.92796633996946e-05,0.619158631626502,0.069,0.034,0.587547742105694,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"SIRT3",2.01261513489881e-05,0.600895000423987,0.076,0.039,0.613344462360413,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"CCNL1",2.06449544608629e-05,0.434274373247976,0.665,0.62,0.629154987194795,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"MTERF1",2.07425408783294e-05,0.217763833794461,0.143,0.091,0.632128933267088,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
"TMEM161B-AS1",2.08105520777285e-05,0.287388953581104,0.15,0.096,0.634201574568777,"STA_vs_Ruptured_recurrent","stage","STA","Ruptured_recurrent","up_in_STA"
