"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"CCND1",1.69521070160687e-20,-0.888187128493896,0.178,0.081,5.16615461314694e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"COX17",1.70881705145395e-20,-0.511034294189942,0.395,0.236,5.20761996430591e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"BCKDHA",1.82397266258202e-20,0.592325645643506,0.108,0.038,5.55855668921872e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"POMGNT2",1.84335262760967e-20,1.90784745057197,0.062,0.01,5.61761713264046e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"TSEN15",1.94491946614236e-20,0.114996156128849,0.119,0.044,5.92714207306884e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"LTC4S",1.95213660285425e-20,0.270205805125495,0.096,0.03,5.94913629719833e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"BCL9",1.97062581624068e-20,0.943106596754209,0.074,0.017,6.00548217499348e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"NUP107",2.02522514370053e-20,0.231966429326457,0.16,0.073,6.17187362542736e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"VPS35L",2.20479811687797e-20,-0.119582454647138,0.158,0.071,6.71912226118561e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"DUSP12",2.22286125100167e-20,0.202970150598804,0.156,0.071,6.77416966242758e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"PTGR2",2.26230747584309e-20,1.42416244826218,0.066,0.012,6.89438203263181e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"RABL3",2.41524953114973e-20,0.443171889934713,0.13,0.053,7.36047294617879e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"HNRNPUL1",2.42372854605546e-20,-1.59522261503876,0.271,0.323,7.38631274410401e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"RIOK1",2.49447301783912e-20,-0.121654796449303,0.19,0.094,7.60190652186471e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"SLC35F5",2.52551613377157e-20,-0.264014538001179,0.214,0.11,7.69651041766886e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"KLF5",2.52721859353737e-20,0.603432825628468,0.109,0.039,7.70169866380514e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CAPZB",2.7155730509006e-20,-0.339187267969152,0.594,0.372,8.27570887261957e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"POGLUT2",2.75434838199536e-20,1.85196763221004,0.066,0.012,8.39387669413087e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"NPIPB5",2.83291685417462e-20,-1.95201232922061,0.064,0.122,8.63331411309714e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
"HEIH",2.87273979511767e-20,0.596102626749229,0.097,0.032,8.7546745256211e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"CHADL",2.89548512171799e-20,4.24159408834566,0.05,0.004,8.82399090843558e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"RARA-AS1",2.96944532032673e-20,0.66020078558171,0.08,0.021,9.04938461369572e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_STA"
"C1orf52",3.04852332123608e-20,-0.249465153803719,0.297,0.173,9.29037482146696e-16,"STA_vs_Ruptured_de_novo","stage","STA","Ruptured_de_novo","up_in_Ruptured_de_novo"
