"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_direction","source"
"GO:0001649","osteoblast differentiation","90/4110","262/18986",0.343511450381679,1.58683902602106,5.02751579717606,1.31010046474199e-06,7.30848902116779e-05,6.05798335200241e-05,"4653/6422/2662/3479/7481/8646/2737/652/3488/6423/6474/338773/22801/4037/117581/3082/1052/4488/2736/5587/6591/8321/1291/6608/4086/3399/3491/4921/3400/2247/7480/90993/10979/658/9902/6662/51374/847/10413/7291/4091/2274/4041/8840/4090/1462/115908/3295/1050/5727/64093/2735/23051/3611/182/4208/57665/25937/5747/55973/56975/6238/6096/1192/3726/55366/55603/8519/23376/5608/2550/5566/657/7130/5701/23317/3572/7422/51564/57003/2697/506/4077/207/3727/51741/26156/1213/57560/57045",90,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0030324","lung development","72/4110","198/18986",0.363636363636364,1.67980535279805,5.05428847887834,1.41663615426562e-06,7.83286963880672e-05,6.49264078154341e-05,"2719/4781/7481/7068/2255/2252/5156/64399/9719/2737/5241/652/3488/1956/2200/10252/91461/2736/23414/1291/3280/4311/10253/83716/2627/9509/2247/4323/8817/2260/6662/7474/10413/7067/3290/7482/1050/57333/7472/5595/5154/60485/302/2735/4054/1490/84695/9231/57190/100/6720/7043/7048/5310/1512/1281/657/10630/28511/2034/1605/57493/8985/7422/1981/5605/1522/3988/54206/27031/51501/9678",72,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0010464","regulation of mesenchymal cell proliferation","20/4110","33/18986",0.606060606060606,2.79967558799676,5.43870297318775,1.43845910940423e-06,7.88376536452424e-05,6.53482808704415e-05,"4781/7481/8646/652/6474/5396/6608/2260/6495/6662/7474/4041/7472/5154/7048/4609/657/4000/23345/9678",20,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0010810","regulation of cell-substrate adhesion","79/4110","223/18986",0.354260089686099,1.63649198607792,5.02547780184893,1.4761571280537e-06,7.98232903946255e-05,6.61652720435268e-05,"5212/4653/6422/94/10395/2199/2192/347/395/79625/6695/3037/22998/8322/11170/25890/1842/7070/6237/1793/3728/2042/4811/2013/1946/10391/151887/8829/1307/683/402/1601/3491/4323/30008/10979/54453/11117/8324/55679/3690/90102/133584/11078/6714/81848/9270/51144/3611/5328/182/10085/55604/5747/1295/6281/8751/7414/811/71/56940/10630/5879/7057/1435/25/604/1605/7422/387/9475/708/7094/5034/23189/5786/4287/5295/79834",79,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0070585","protein localization to mitochondrion","53/4110","133/18986",0.398496240601504,1.84083932458884,5.11483617679461,1.4819945079668e-06,7.98232903946255e-05,6.61652720435268e-05,"22885/120892/54741/51024/4580/10651/617/131118/26517/3998/26521/65018/27429/29103/6720/9049/706/140823/29928/10456/10134/29090/26519/58480/23770/56947/51079/25813/10469/90580/23787/59286/93974/10245/1649/401505/92609/84233/100188893/26515/5071/51100/4836/57506/158234/26520/207/10452/51025/118424/83943/7332/665",53,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0032956","regulation of actin cytoskeleton organization","114/4110","352/18986",0.323863636363636,1.49607664233577,4.9379898379541,1.61662342774076e-06,8.63304545002073e-05,7.155903971646e-05,"4653/6422/2934/348110/5159/10810/10395/5156/395/25802/84952/2006/22998/11170/23500/1902/4035/2042/25959/5587/5345/1946/10391/55160/8829/9353/6387/683/55243/10435/55616/11135/148170/51474/9912/10979/171024/7111/2017/10787/7168/6050/29767/9639/130271/11034/7082/123016/3690/8195/23580/390/90102/11078/5217/51019/85458/26084/23075/9270/1073/5063/10178/5154/64223/10174/23191/1490/23433/54961/6711/2059/55604/6281/822/9037/55845/29108/389/7043/8558/8936/3265/11344/10456/5962/10163/585/5756/51126/57175/23647/274/5987/71/9788/5879/25/118/5071/387/9475/375/93663/10092/120/23189/27236/5829/7046/2241/2314/136319/5295",114,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0044282","small molecule catabolic process","120/4110","375/18986",0.32,1.47822871046229,4.91642650761819,1.71424308648423e-06,9.02432067250387e-05,7.48023076162798e-05,"54511/33/1036/8644/217/1593/55258/56898/3176/8309/283927/254552/128/4357/874/160428/7263/84693/23498/123688/205251/7291/2098/1384/55268/79644/10994/23464/3667/3155/4329/4041/6817/10327/10157/35/2584/2653/51071/26007/572/6342/3295/2109/587/84750/5213/9784/25953/1892/3712/10005/5106/11164/22875/5860/1635/1891/3425/60496/219743/3074/1632/100/10449/3028/27349/132789/11315/37/347862/10295/1666/4835/10455/10007/4521/3033/51084/1629/23417/5096/6470/3073/137872/51390/5826/3030/81602/34/51380/55577/593/5264/5828/54677/30/5191/84129/51181/11112/594/2820/5223/4942/7167/11057/207/2108/3032/38/5315/3029/2592/125061/4245/5211/549/55862/2752",120,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0016054","organic acid catabolic process","86/4110","249/18986",0.345381526104418,1.59547777484634,4.97162460639699,1.73322420086502e-06,9.02432067250387e-05,7.48023076162798e-05,"54511/33/1036/55258/56898/3176/8309/283927/254552/4357/160428/7263/84693/23498/123688/205251/7291/1384/55268/10994/23464/3667/3155/4329/10327/10157/35/2653/6342/3295/2109/587/1892/3712/10005/5106/5860/1891/3425/60496/219743/3074/1632/10449/3028/27349/132789/37/10295/1666/10455/10007/3033/51084/1629/23417/5096/6470/3073/137872/51390/5826/3030/34/51380/55577/593/5264/5828/54677/30/5191/84129/51181/11112/594/4942/11057/207/2108/3032/38/125061/549/55862/2752",86,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0046395","carboxylic acid catabolic process","86/4110","249/18986",0.345381526104418,1.59547777484634,4.97162460639699,1.73322420086502e-06,9.02432067250387e-05,7.48023076162798e-05,"54511/33/1036/55258/56898/3176/8309/283927/254552/4357/160428/7263/84693/23498/123688/205251/7291/1384/55268/10994/23464/3667/3155/4329/10327/10157/35/2653/6342/3295/2109/587/1892/3712/10005/5106/5860/1891/3425/60496/219743/3074/1632/10449/3028/27349/132789/37/10295/1666/10455/10007/3033/51084/1629/23417/5096/6470/3073/137872/51390/5826/3030/34/51380/55577/593/5264/5828/54677/30/5191/84129/51181/11112/594/4942/11057/207/2108/3032/38/125061/549/55862/2752",86,"STA_vs_Ruptured_recurrent","up","GO_BP"
"GO:0016485","protein processing","85/4110","246/18986",0.345528455284553,1.59615650901035,4.94682078828107,1.94680344084647e-06,0.000100525850400072,8.33255583207015e-05,"2934/590/7123/2737/2619/715/26022/1363/5122/4325/25825/5345/4311/9508/51279/23621/8996/9509/5046/649/120892/4323/165/79659/4669/115209/2152/444/6714/572/5727/302/5328/23385/55851/8772/6281/10159/5125/64115/29100/27429/219743/84938/9789/29108/30968/1203/81502/840/143458/9532/1512/9935/5566/51098/23478/84976/4193/63901/51107/1201/28972/9986/60559/10269/7057/8754/1514/5641/26160/63929/64065/8720/3428/1522/5034/824/837/55848/1889/83943/5327/831/83464",85,"STA_vs_Ruptured_recurrent","up","GO_BP"
