"metric","sample_stage_spearman_rho","sample_stage_spearman_p","STA_vs_rupture_like_wilcox_p"
"Contractile",-0.673633069708608,0.0971037189593776,0.0808555983700523
"AMPK_SIRT1_gene",-0.112272178284768,0.810599811014149,0.662520583540057
"Inflammatory_gene",0.28068044571192,0.542047755275109,1
"ECM_gene",-0.673633069708608,0.0971037189593776,0.0808555983700523
"AMPK_SIRT1_module",0.804617277707504,0.0290823366472618,0.0808555983700523
"Inflammation_module",0.673633069708608,0.0971037189593776,0.190430263825524
"ECM_module",-0.336816534854304,0.460076749672138,0.662520583540057
"pseudotime",0.729769158850992,0.0626382991661673,0.0808555983700523
