"sample","M1","M2","M3","M4","M5","M6"
"GSM1306885_RIA01",-0.473512785927135,-0.468484386875747,0.266091978971134,0.96543999594641,-0.24379268289354,-0.920285304070651
"GSM1306886_RIA02",-0.371837384683127,-0.602458486206005,0.580515591081579,0.606782796037368,-0.209619070375818,-0.615274186942177
"GSM1306887_RIA03",-0.639578900629717,-0.238679422920905,0.610658846097803,0.284440840192751,2.18089392664112,-0.268178600104993
"GSM1306888_RIA04",-1.16393718319054,-0.271392101077969,0.625847010482346,-1.30787583688558,-0.154520621692019,0.283186422018596
"GSM1306889_RIA05",-0.10796564850803,0.0993829489500636,0.120721477792813,0.197284292462013,0.118066721225491,-0.35777731695876
"GSM1306890_RIA06",-0.720038807408263,-0.658583381493599,0.402935938021463,-1.38875875214058,-0.354970263520081,0.0613843144955386
"GSM1306891_RIA07",-1.27910828921123,0.723047388495336,0.819771402106658,-1.15949675881446,-0.201769399258779,0.245795756051583
"GSM1306892_RIA08",-0.829614041428094,0.712394622251952,0.804386095138437,-0.212997656627099,-0.193927286703625,0.0963776102236298
"GSM1306893_UIA01",-0.364235162276639,-0.118076644344748,0.617927634757556,0.788473607940755,-0.391571653726116,-0.446956349391974
"GSM1306894_UIA02",-0.124687298647825,-0.928387683196851,0.54024448588216,-0.129605108457848,0.0599611092667567,0.0185185731462397
"GSM1306895_UIA03",-0.629864980433019,-0.0870286142447249,0.795452280198256,0.037603035428255,-0.311292222679943,0.647665840769777
"GSM1306896_UIA04",-0.441933060215494,0.086874494795619,0.512468999988612,0.645020081945972,-0.261834156789225,-0.377451011138856
"GSM1306897_UIA05",-0.347245531448686,0.14673845199865,0.500886242429252,1.44699865488405,-0.15566110111905,-0.278469903083896
"GSM1306898_STA01",0.747489236771228,-0.278880685115309,-1.09683504469457,-0.357883228006588,-0.218192272693281,-0.88257018508543
"GSM1306899_STA02",0.686313543745006,-0.699086519517141,-0.653198332416519,-0.00999816739754785,-0.10286878514211,-0.0414665105812781
"GSM1306900_STA03",1.00303103408844,-0.471833508833047,-0.415088986216036,0.204113298540325,-0.18509403403996,-0.0541491254153814
"GSM1306901_STA04",0.714117121133249,-0.316408992740888,-0.7296698230587,-0.302309637809306,-0.170236171541128,-0.333291467355093
"GSM1306902_STA05",0.769061514781985,0.380192904577208,-0.68009208848109,0.265341013184909,1.63958721909325,-0.289167643492598
"GSM1306903_STA06",0.798086398627632,-0.15195059515534,-0.74992351875626,-0.124313615219411,-0.0918045088210965,4.1855175816809
"GSM1306904_STA07",0.722179930551708,0.956023308818749,-0.658837450942339,0.0308067452895505,-0.354065895391207,0.365646461925203
"GSM1306905_STA08",0.790877786689823,-0.186250190859595,-0.754782532768405,-0.0908540952557317,-0.101158249449466,-0.963719858745489
"GSM1306906_STA09",0.647068821132894,1.66181878883131,-0.651531758727418,-0.156585819528831,-0.160801612552575,0.0602903437329627
"GSM1306907_STA10",0.615333686485828,0.711028303862982,-0.807948446886726,-0.231625685709364,-0.135328987837597,-0.135625441677856
