"gene","module","variance"
"PAX4","M2",2.63397772198548
"MYH7B","M1",2.632168385235
"KIAA1324L","M1",2.62851712037672
"SOX10","M1",2.62795361559336
"CCDC68","M4",2.62794986754172
"GPR18","M3",2.62764921567783
"GPR109B","M3",2.62643910130334
"LOC442461","M2",2.6262734472304
"PBX1","M1",2.62486303428551
"ITGAL","M3",2.62383915172595
"GZMA","M3",2.62351236129506
"MMP19","M3",2.6218110227396
"FAM110C","M1",2.62142779181789
"AGXT2L1","M3",2.6193244484051
"KIF26A","M1",2.61771404998922
"GLT1D1","M3",2.61674585751229
"LOC100128893","M1",2.61600255846939
"SEMA3E","M1",2.61465721689616
"HBA1","M1",2.61360032729036
"C20orf166","M1",2.61194047589143
"IP6K3","M1",2.61109301399306
"GPR83","M4",2.61107549097358
"KANK3","M1",2.6106390667779
"LGI2","M1",2.61015805599055
"FCN1","M3",2.60997929903354
"CD2","M3",2.60962679035276
"C10orf107","M1",2.6096049381345
"BEND7","M1",2.6091560139056
"TRPV4","M3",2.60764688460719
"SPRY1","M1",2.60549158640435
"DKK2","M1",2.60458873317381
"CD1C","M2",2.60328382615071
"SRGN","M3",2.60238412319991
"TNFSF11","M3",2.60144675595634
"ADARB1","M1",2.6010834338329
"STAC","M1",2.59898607000296
"CMTM2","M3",2.59868234872105
"HCLS1","M3",2.59789013409169
"KIF19","M1",2.5967160462412
"SOBP","M1",2.59637548852399
"MME","M1",2.59634941273683
"S100Z","M3",2.59577419636005
"OSCAR","M3",2.59528115752284
"CACNA1E","M3",2.59493412608279
"IL33","M1",2.59425806839054
"SGEF","M1",2.59238828041196
"IL10RA","M3",2.59151211917361
"KRT72","M1",2.5910798054742
"MYH2","M1",2.59104477044948
"VIPR2","M1",2.58932066112669
"HOXA2","M2",2.58752023550494
"TNFRSF1B","M3",2.58704355279694
"PDE1C","M1",2.58700245390781
"DLK1","M1",2.58646155366263
"FRY","M1",2.58437336476829
"IRF4","M3",2.58198594735503
"C1orf133","M1",2.58110912408616
"CCDC67","M3",2.58090490392112
"APBB1IP","M3",2.58084930677277
"NLRP3","M3",2.58078407493098
"PCDHB5","M4",2.57990229728233
"TBX21","M3",2.57888603728955
"GRIK3","M1",2.57438687459574
"LOC388630","M1",2.57426536586622
"EBF1","M1",2.5730969452457
"HHIP","M3",2.57302721371139
"KLHL34","M1",2.57285105174215
"NCF1","M3",2.5717664305157
"KCNJ6","M3",2.57165839426882
"MFSD4","M1",2.56961310833932
"SLC1A2","M3",2.56913459644008
"ECM2","M1",2.56809926726938
"LOC642413","M3",2.56335188762633
"CX3CL1","M1",2.56320401955238
"FASLG","M3",2.56260107588039
"PAX6","M3",2.55907853323755
"C7orf41","M1",2.55852008997521
"LOC283481","M1",2.55836097342778
"SRPK3","M1",2.55800957043183
"ANO3","M4",2.55652111295131
"PRDM1","M3",2.55611927972506
"MEIS1","M1",2.55410442014922
"BMP15","M2",2.5523670247105
"FMO3","M1",2.55148346401951
"LOC348751","M3",2.54887793812659
"C13orf18","M3",2.5486470716362
"TNFAIP6","M3",2.54808085356938
"SLC12A8","M3",2.54787432578779
"HBM","M1",2.54607550589278
"USHBP1","M1",2.54571540027285
"QPRT","M3",2.54552331256412
"FLJ43093","M2",2.54417955522689
"CMIP","M3",2.5432080334304
"CHN2","M3",2.54253120014761
"RNF112","M1",2.54248720496388
"RHBDF2","M3",2.5424119674361
"LOC401233","M3",2.54193727740377
"ANGPT1","M1",2.54187142161553
"HIGD1B","M1",2.5411772891637
"MYO5B","M4",2.53996236964095
"C3","M1",2.5388989941506
"CNR1","M1",2.53879300679779
"EPHA7","M4",2.53804643694752
"TLE2","M1",2.53714882935306
"PDGFRL","M1",2.53659693913718
"PTX3","M3",2.53481829454689
"GLYATL1","M2",2.53440920888565
"GTF2H4","M5",2.53439258129106
"SLC25A27","M1",2.53428734162674
"DPF3","M1",2.5339059086496
"MEST","M3",2.53348312119126
"A1CF","M2",2.53314216573782
"SPAG8","M1",2.53032202572113
"CTSZ","M3",2.53032133502361
"VNN1","M3",2.52354129945588
"NDUFA4L2","M3",2.52301478360169
"PALMD","M1",2.52299817706925
"TSPAN2","M1",2.52202425254459
"CST9","M3",2.52187112298214
"OAS3","M3",2.52126395239898
"BEST3","M1",2.52124962902041
"RGS9","M1",2.5184905121648
"CD1D","M3",2.5174379369871
"GZMH","M3",2.5158004868321
"PCK1","M1",2.5147631322434
"PRINS","M1",2.51464650800337
"PRLR","M3",2.51077454568826
"GUCY1A3","M1",2.51014443664687
"C10orf90","M3",2.50888414952689
"SULT1C2","M3",2.50699198780021
"HLA-DQA1","M3",2.50391035356779
"SEMA7A","M3",2.50283062309001
"TMEM26","M3",2.50262899710262
"HSPA12B","M1",2.50257210035179
"MPEG1","M3",2.50242382390206
"LRIG3","M1",2.50218520435684
"HS3ST1","M3",2.50209405231882
"HS6ST3","M1",2.5019770417457
"TNFAIP3","M3",2.50187103790847
"PAQR5","M3",2.50153893381683
"ELMOD1","M4",2.50152329573835
"LRRN1","M4",2.49998465246148
"IGF2","M4",2.49934444745165
"IL18RAP","M3",2.49729457316785
"CLIC6","M4",2.49571318150361
"TTYH3","M3",2.49469687021491
"CBX7","M1",2.49468902746838
"BATF","M3",2.49455482234662
"FOSL1","M3",2.49263512635114
"UBASH3A","M3",2.49263126474555
"GABRR1","M3",2.49143454139521
"ZAK","M1",2.49136233568651
"C20orf39","M4",2.49134715974013
"ESCO2","M3",2.49126794312801
"MASP1","M1",2.48864446305699
"ADRA1B","M1",2.48822253091007
"BDKRB2","M1",2.48677883880098
"KCNJ16","M1",2.48638226324747
"GAS2","M1",2.48604212155803
"LOC388002","M1",2.4859909914236
"C21orf135","M1",2.48550558246493
"IGLV6-57","M3",2.48338786839608
"FAT2","M3",2.48156518298614
"PITX1","M2",2.48133335631191
"KCNJ15","M3",2.47757999291743
"SV2B","M1",2.47755090744827
"SH3TC1","M3",2.4767504817033
"FCGR2B","M3",2.4763255826883
"FAM78A","M3",2.47404110554187
"SPINK2","M3",2.47334827962092
"KIAA1210","M3",2.47331341630748
"ENO3","M1",2.47235488395307
"PROX1","M1",2.47210211311096
"SNX20","M3",2.47196200628272
"FAM150A","M5",2.47186507228675
"KCNE3","M3",2.47142676907669
"MYOM2","M1",2.47018096326691
"GK","M3",2.47006058604045
"RBM11","M1",2.46913257508665
"CENPF","M3",2.46827395809056
"GNGT2","M3",2.46463993579484
"ABLIM2","M1",2.46419530361278
"IL8RBP","M3",2.46309692319609
"TEX11","M3",2.45938262816887
"DSTN","M1",2.45933154129792
"CD8B","M3",2.45887153042059
"COL4A5","M1",2.45807471324916
"TMEM37","M3",2.45793952940683
"IFIT3","M3",2.4578272060488
"FABP3","M1",2.45780663153363
"IRF6","M1",2.45674111000624
"GGTA1","M1",2.45657397446397
"NCR1","M2",2.45581240059663
"LHFPL2","M3",2.45580739546348
"GABRA4","M1",2.45406284459291
"LOC202451","M1",2.45392536217603
"IKZF1","M3",2.4538883728812
"SALL1","M3",2.45141386527146
"CCR2","M3",2.45037347927536
"GNG4","M3",2.44484808586003
"TDRD10","M2",2.44481450572422
"LAIR2","M3",2.44336537198881
"NTN4","M1",2.44332268469403
"PCDH18","M1",2.44256124819132
"F3","M4",2.4424026341613
"PACSIN3","M1",2.44159321280714
"GRAMD1C","M3",2.43976942558175
"UPK3A","M2",2.43924854902508
"FLT3","M3",2.43636448144047
"EGF","M1",2.43563161018278
"HOPX","M3",2.43365594977472
"SERTAD4","M1",2.43342797661643
"GRID1","M1",2.43283543881311
"ICOS","M3",2.43251841240691
"LOC643988","M3",2.43083064361205
"KRT6C","M2",2.43078535893813
"SDK1","M1",2.43067028482018
"MAGEC1","M2",2.42975948746972
"TCEAL7","M1",2.4238150999007
"SLMAP","M1",2.42344619953221
"NKX6-2","M1",2.42341847826976
"CHRDL1","M1",2.4221040862859
"SOCS3","M3",2.42149537830566
"ITGAM","M3",2.42081554930714
"ALDH1A1","M1",2.42062444488556
"KRTAP4-2","M3",2.42029615804339
"SOX2","M1",2.41957580141101
"NUP210","M3",2.41843665320651
"GRRP1","M1",2.41686280124951
"COL22A1","M3",2.41606753585592
"UGT2B11","M2",2.41591988933504
"NR4A1","M1",2.41567191117277
"HLA-DPB2","M3",2.41453454211876
"PTPN3","M1",2.41267868418994
"CDC2","M3",2.40954389701459
"OR4F4","M3",2.40944573047312
"ZNF536","M1",2.4081676793493
"TNNT2","M1",2.40813385923926
"MT1JP","M1",2.40796004585085
"RDH10","M3",2.40776094749999
"SPINK1","M3",2.40733464264031
"KIAA1755","M3",2.40668937529097
"SEC14L2","M3",2.40578869846648
"TRAT1","M3",2.40541859040181
"C5orf15","M4",2.40519087680304
"LAG3","M3",2.40489942662541
"VWF","M1",2.40417060037422
"LST1","M3",2.40405488948082
"C3orf52","M3",2.40182817009235
"C9orf125","M1",2.40119446260881
"FAM12A","M3",2.40005952175997
"BTNL3","M5",2.39989249147303
"ADCYAP1","M1",2.39966643810323
"ITK","M3",2.39590156477868
"ACTG2","M1",2.39540110043174
"PSMAL","M1",2.39324242173436
"GUCA2B","M3",2.39266891599565
"GPR34","M3",2.39173110468062
"B3GNT5","M3",2.39169013859587
"TIMD4","M3",2.39117312118858
"AQP4","M3",2.38803087271465
"ANGPTL5","M1",2.3869918469317
"CCDC102B","M1",2.3855077670686
"ERP27","M3",2.38540769241457
"IL13RA2","M3",2.38461874988886
"ZCCHC18","M1",2.38329049768834
"IGFBP2","M3",2.38316106245595
"C6orf115","M3",2.38293709302253
"KRT27","M1",2.38258744309563
"IFIT1","M3",2.38103630140783
"PRICKLE3","M4",2.3795468654126
"COL7A1","M3",2.37693763759102
"C10orf140","M1",2.37630346631069
"KCNQ1","M3",2.37571004570967
"SHE","M1",2.37457278058585
"NAPSA","M3",2.37444432976176
"TRIM14","M3",2.37426152554578
"ARHGAP9","M3",2.37278079046932
"OSBPL3","M3",2.37132248607799
"CSF3R","M3",2.37059267521064
"STK33","M4",2.36952065760381
"IFI44L","M3",2.36924368149022
"CYP4F8","M1",2.36920180239283
"KCNN3","M1",2.36898229304803
"SLC2A9","M1",2.36825828304899
"HLA-DRB3","M3",2.36806809409711
"F2RL1","M3",2.36705742309973
"PTPRO","M3",2.36688465469358
"HAL","M3",2.3650200769572
"LOC339240","M1",2.36470756843642
"TAS2R38","M2",2.36396334185052
"SYT4","M3",2.36203333891312
"CLDN1","M1",2.36036297241639
"WSCD2","M1",2.36020272087514
"REG1A","M3",2.36017149093274
"ANKRD29","M1",2.35986225883568
"SOX5","M1",2.35847754489577
"TCF21","M3",2.35778560352579
"ANXA8L2","M3",2.35748644145818
"ZMYND15","M3",2.355660291771
"PGM5","M1",2.35289177940194
"FGF7","M1",2.35230357444701
"BVES","M1",2.35159531231458
"MGC16025","M3",2.35152530017392
"KY","M1",2.3496084279127
"IL17RD","M1",2.34916152694589
"NLGN1","M1",2.34816892705433
"PLTP","M3",2.34793196818157
"FLJ42875","M1",2.34768318738821
"LILRB5","M3",2.34718958789789
"PHLDA1","M3",2.34635194423741
"NXPH3","M1",2.3450917809951
"SAMD3","M3",2.34493474074358
"SLC47A1","M3",2.34439756113036
"GJA5","M1",2.34404812258015
"FAM181B","M1",2.34382305634545
"LIMS2","M1",2.3418202138008
"C1orf64","M3",2.3417807803519
"VEPH1","M3",2.34152776840832
"FGD3","M3",2.34124243125515
"PDE6B","M3",2.34104129586645
"BLK","M3",2.34088405213729
"SLC6A1","M3",2.34019517059057
"FAM47A","M2",2.33982563656958
"ITIH1","M1",2.33978092702296
"BUB1B","M3",2.33798578111403
"CLEC12B","M3",2.33780523946393
"SLC27A2","M3",2.33706116155154
"ETV7","M3",2.33655883575188
"PKD1L2","M1",2.33601376455604
"HBQ1","M1",2.3305458564844
"TRIM36","M1",2.32848635435994
"IGF1","M1",2.32767939459032
"NLGN4Y","M1",2.3270134530777
"C3orf57","M5",2.32604049937287
"GTSE1","M3",2.32548942421523
"C6orf112","M1",2.3250743874654
"CHP2","M4",2.32475680922384
"NRXN3","M1",2.32339762427876
"SCN2A","M3",2.32261771439376
"OLFM1","M1",2.32233278619818
"MYD88","M3",2.3222776749391
"C12orf28","M1",2.3212485723728
"SALL4","M3",2.31946990411469
"CD247","M3",2.31935420307083
"SHC4","M1",2.31772840493099
"ITM2A","M1",2.3166276839836
"HMGCS2","M1",2.31661594878835
"KRT25","M2",2.31619355877646
"RIPK4","M4",2.3158813837746
"SPAG4","M3",2.31275104427436
"MOXD1","M4",2.31115083737918
"COL4A3","M4",2.3108190081401
"LOC286272","M3",2.30954048376307
"SLIT2","M1",2.30932148350041
"MAFF","M3",2.30885859744516
"HCN1","M1",2.30666908868904
"INSL3","M3",2.30634169606755
"CYFIP2","M1",2.3050002479803
"THNSL2","M1",2.30451720610902
"STAT1","M3",2.30322768879344
"LRRTM1","M1",2.30313787355844
"HOXA4","M3",2.30173828196695
"NCRNA00086","M1",2.29894604396183
"FGF18","M1",2.29856871405652
"IRF7","M3",2.29777101165895
"ADAMTS9","M1",2.29704241091471
"SPTY2D1","M3",2.2966883968263
"GRAMD1B","M3",2.29661407866976
"RHOXF2","M5",2.29544007141124
"WNK2","M1",2.29392131387491
"NKG7","M3",2.29311782178569
"GPR143","M3",2.29309994255957
"CAMKV","M5",2.2885674164639
"IQCA1","M3",2.2875135015962
"ZNF853","M1",2.28699750409787
"DNER","M1",2.28562766841528
"CAV1","M1",2.28333777281138
"PLVAP","M1",2.27838909638211
"RP5-886K2.1","M2",2.27763512744184
"NLRP11","M5",2.27693665474456
"C7","M4",2.27456320500008
"GBX2","M3",2.27419818508012
"VNN3","M3",2.27383182328103
"HSPA6","M3",2.27262206695975
"MYLK2","M1",2.27128498161237
"RAD54L","M3",2.27028375747836
"LOC440900","M3",2.26976605247263
"PRSS36","M3",2.26957448312748
"RDH12","M3",2.26917097151478
"GRIN3A","M3",2.26903119952709
"LOH3CR2A","M1",2.26842350495708
"NPTX1","M3",2.26841614564243
"OSBPL6","M1",2.26769070534603
"CYP1B1","M3",2.2669133158419
"CDT1","M3",2.26688668759745
"PNOC","M3",2.26631677505576
"C6orf155","M1",2.26558081279062
"IL17D","M1",2.26554195366613
"MN1","M1",2.2643901676256
"LOC641467","M1",2.26281544564851
"TIE1","M1",2.26229417091986
"TBC1D2","M3",2.26150979426759
"CRYM","M1",2.26053096850703
"PRKCQ","M3",2.25986299914003
"TMEM180","M3",2.2575026714217
"GBGT1","M3",2.25740158494741
"LDLR","M1",2.25631801488878
"C22orf31","M2",2.25429786100946
"CXADR","M3",2.25375297120408
"VENTX","M3",2.25358128527313
"GFPT2","M3",2.25121314751808
"C19orf33","M1",2.25118276608451
"SAT1","M3",2.25088249678719
"PTCH1","M1",2.25012158279797
"RASAL3","M3",2.24955118975651
"TMC7","M1",2.2479816142334
"VSNL1","M3",2.24644234491337
"OCC-1","M1",2.24213067145267
"SPINT2","M3",2.24157503528634
"NUDT10","M1",2.24032742021942
"STARD9","M1",2.23956157283898
"FHAD1","M3",2.2373426193185
"LOC142937","M3",2.23722437246173
"SGCD","M1",2.23696855995797
"C9orf3","M1",2.23616198587938
"KRT33A","M3",2.23496224969812
"LOC644192","M1",2.23436295154596
"STARD6","M5",2.23355137140181
"ACRBP","M3",2.23283166109652
"TUBB2B","M1",2.23254580201118
"F9","M3",2.23219769005507
"LAMB3","M3",2.23201198786521
"ISG20","M3",2.23136950909979
"DMPK","M1",2.22959977605794
"EDIL3","M1",2.22927705572583
"LRCH2","M1",2.22907522899661
"DPEP2","M3",2.22792998953848
"SOX3","M3",2.22774092236724
"SLC25A41","M1",2.22637265779756
"DUX2","M2",2.22509527051324
"SPI1","M3",2.2248573792717
"UHRF1BP1","M5",2.22390778618491
"PLXNC1","M3",2.22298628698103
"CD5L","M3",2.22264661482274
"TINAGL1","M1",2.22247899539883
"C9orf150","M1",2.22230100491609
"CRIP2","M1",2.22092294770174
"CAMK2G","M1",2.22013622667482
"FAM19A5","M4",2.22011959315635
"CLDN10","M1",2.21951359535287
"LSDP5","M3",2.21910329177188
"BATF2","M3",2.21782740858998
"PIP3-E","M3",2.2145169787016
"COX6A2","M3",2.21444086422494
"PPP1R3A","M1",2.21433884879716
"LOC728705","M1",2.21363000105085
"GZMK","M3",2.21303679994093
"P2RY6","M3",2.21280223218638
"LTBP4","M1",2.21136625816033
"UBASH3B","M3",2.21079960809914
"NMU","M3",2.21004188241669
"TAGAP","M3",2.20799380117588
"SUNC1","M3",2.20752668987168
"GAPT","M3",2.2050844274036
"SLC7A9","M3",2.20451762922731
"AADAC","M5",2.20299298646258
"NEK2","M3",2.20292214797766
"ZNF323","M1",2.20219603204577
"GPER","M1",2.20180041820952
"SH2D1A","M3",2.20143942369222
"CLDN23","M3",2.20082366757666
"SYTL5","M3",2.19914105293148
"RASIP1","M1",2.19889959071405
"KCNG4","M3",2.19835617671391
"IGKV2-24","M3",2.19763464665186
"SOD3","M1",2.1951997204318
"GEFT","M1",2.19479370387812
"HOXD10","M1",2.19100477757738
"BIC","M3",2.19057882084405
"GPR158","M3",2.18948786525064
"ACCN5","M3",2.18918438663523
"FLJ44087","M1",2.18913678013861
"KIAA0125","M3",2.1882962093281
"FRS3","M5",2.18803290977886
