"module","n_genes","spearman_rho_stage_code","spearman_rho_AMPK_SIRT1_score","spearman_rho_Inflammation_score","spearman_rho_ECM_score","spearman_p_stage_code","spearman_p_AMPK_SIRT1_score","spearman_p_Inflammation_score","spearman_p_ECM_score","top_genes"
"M1",850,-0.875998290761166,0.732213438735178,-0.494071146245059,-0.687747035573123,4.34038053738799e-08,7.12843257532693e-05,0.0165641382344269,0.000287196247902754,"AMOT;CAND2;NDRG2;PBX1;LYPD6;NR3C2;SYNM;GLI1;C9orf61;LDB3"
"M3",989,0.79322679872074,-0.74703557312253,0.662055335968379,0.703557312252964,6.33259137023219e-06,4.21390213492749e-05,0.000579073406889938,0.000180039413042007,"HAVCR2;HCST;TYROBP;IL4I1;RHBDF2;VAMP8;SAMSN1;AIF1;CD300C;GMIP"
"M5",23,-0.157053600281832,0.0217391304347826,-0.310276679841897,-0.212450592885376,0.474201742754069,0.921571481060845,0.149613751033106,0.330439591552701,"GAB1;SLITRK3;PARD6A;C21orf90;BTNL3;PDE10A;DCLK3;FAM150A;FRS3;LYRM5"
"M2",72,-0.10399495153797,0.156126482213439,-0.151185770750988,-0.16699604743083,0.636774700757867,0.476847737652847,0.491073862454755,0.446302129525607,"PAX4;GNG13;FLJ43093;TDRD10;FLJ35379;LOC442461;MAGEC1;RP5-886K2.1;UPK3A;POTEB"
"M4",65,0.0811797325781092,-0.16600790513834,0.281620553359684,0.319169960474308,0.712707890347131,0.449035549107722,0.192976773267662,0.137684237343219,"ENPP6;DACT2;FAM134B;NEBL;MAP1LC3C;SCN2B;CFI;CH25H;HS6ST2;CRABP1"
"M6",1,0.0137952486734042,0.0296442687747036,0.101778656126482,-0.0978260869565217,0.950186238000736,0.893189316460536,0.644012399414326,0.656997800586938,"TMCO5A"
