"seurat_cluster","n_cells","signature","mean_score","z_score"
"0",8579,"Contractile",0.330556364442862,0.707106781186547
"0",8579,"AMPK_SIRT1",0.470827200931474,0.707106781186548
"0",8579,"Inflammatory",0.83812092252177,-0.707106781186548
"0",8579,"ECM_Remodeling",1.66815624261055,0.707106781186548
"5",3092,"Contractile",0.127742508347673,-0.707106781186548
"5",3092,"AMPK_SIRT1",0.373816557548296,-0.707106781186548
"5",3092,"Inflammatory",1.16001366554547,0.707106781186548
"5",3092,"ECM_Remodeling",0.341661367804714,-0.707106781186548
