"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","target_gene","source"
"GO:0030509","BMP signaling pathway","8/133","172/18986",0.0465116279069767,6.63962231159294,6.24043064810484,2.88787704124328e-05,0.00878809918783898,0.00743436712098472,"857/2719/4093/4774/91851/6422/5654/4681",8,"PRKAA2","GO_BP"
"GO:0007596","blood coagulation","9/133","234/18986",0.0384615384615385,5.49045691150954,5.80517815636549,4.07135550206186e-05,0.00878809918783898,0.00743436712098472,"7035/966/5592/2152/857/928/50808/375033/2192",9,"PRKAA2","GO_BP"
"GO:0007411","axon guidance","9/133","236/18986",0.038135593220339,5.44392761564929,5.7698328141972,4.34995125091701e-05,0.00878809918783898,0.00743436712098472,"23768/8828/4781/8829/6586/8997/323/152330/64919",9,"PRKAA2","GO_BP"
"GO:0097485","neuron projection guidance","9/133","237/18986",0.0379746835443038,5.42095745693347,5.75231077983647,4.49518837939708e-05,0.00878809918783898,0.00743436712098472,"23768/8828/4781/8829/6586/8997/323/152330/64919",9,"PRKAA2","GO_BP"
"GO:0071772","response to BMP","8/133","184/18986",0.0434782608695652,6.2066034651847,5.96076880911836,4.66887704678954e-05,0.00878809918783898,0.00743436712098472,"857/2719/4093/4774/91851/6422/5654/4681",8,"PRKAA2","GO_BP"
"GO:0071773","cellular response to BMP stimulus","8/133","184/18986",0.0434782608695652,6.2066034651847,5.96076880911836,4.66887704678954e-05,0.00878809918783898,0.00743436712098472,"857/2719/4093/4774/91851/6422/5654/4681",8,"PRKAA2","GO_BP"
"GO:0045165","cell fate commitment","10/133","297/18986",0.0336700336700337,4.80646059593428,5.5532524705177,4.67673933749867e-05,0.00878809918783898,0.00743436712098472,"7026/5396/4781/8829/182/969/4774/2619/6422/64919",10,"PRKAA2","GO_BP"
"GO:0007599","hemostasis","9/133","241/18986",0.037344398340249,5.33098305930802,5.68320303058648,5.11786142386629e-05,0.00878809918783898,0.00743436712098472,"7035/966/5592/2152/857/928/50808/375033/2192",9,"PRKAA2","GO_BP"
"GO:0050817","coagulation","9/133","241/18986",0.037344398340249,5.33098305930802,5.68320303058648,5.11786142386629e-05,0.00878809918783898,0.00743436712098472,"7035/966/5592/2152/857/928/50808/375033/2192",9,"PRKAA2","GO_BP"
"GO:0071560","cellular response to transforming growth factor beta stimulus","10/133","306/18986",0.0326797385620915,4.66509410781857,5.42873065961114,6.00525768521892e-05,0.00962442631684419,0.00814186515638102,"5139/857/8516/4093/8425/6422/27122/5654/1513/1278",10,"PRKAA2","GO_BP"
"GO:0042060","wound healing","12/133","444/18986",0.027027027027027,3.85815891079049,5.11847345836078,6.88498661646145e-05,0.00994172654725693,0.00841028798025238,"7035/966/5592/2152/857/131566/928/667/50808/5493/375033/2192",12,"PRKAA2","GO_BP"
"GO:0071559","response to transforming growth factor beta","10/133","313/18986",0.0319488817891374,4.56076292968844,5.33517989199476,7.2494159955458e-05,0.00994172654725693,0.00841028798025238,"5139/857/8516/4093/8425/6422/27122/5654/1513/1278",10,"PRKAA2","GO_BP"
"GO:0007162","negative regulation of cell adhesion","10/133","314/18986",0.0318471337579618,4.54623820698242,5.32204076413097,7.44388842972649e-05,0.00994172654725693,0.00841028798025238,"5788/5592/182/969/10457/928/5074/8654/5140/2192",10,"PRKAA2","GO_BP"
"GO:0008585","female gonad development","6/133","103/18986",0.058252427184466,8.3156434776261,6.25282876424489,8.65139457076041e-05,0.0102777734971997,0.00869456975067427,"7026/2/6586/6422/23414/26471",6,"PRKAA2","GO_BP"
"GO:0090090","negative regulation of canonical Wnt signaling pathway","7/133","149/18986",0.0469798657718121,6.70646414694454,5.87347663929886,8.67885023715384e-05,0.0102777734971997,0.00869456975067427,"2487/27303/857/2719/6422/80114/27122",7,"PRKAA2","GO_BP"
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/133","326/18986",0.0306748466257669,4.37889201531436,5.16854355426246,0.00010146352407182,0.0102777734971997,0.00869456975067427,"9863/857/2719/8516/91851/8425/6422/27122/5654/4681",10,"PRKAA2","GO_BP"
"GO:0048147","negative regulation of fibroblast proliferation","4/133","35/18986",0.114285714285714,16.3145005370569,7.61660934475592,0.000101825026379487,0.0102777734971997,0.00869456975067427,"857/6422/5074/26471",4,"PRKAA2","GO_BP"
"GO:0007015","actin filament organization","12/133","465/18986",0.0258064516129032,3.68391947610963,4.92158091723972,0.000106593446957074,0.0102777734971997,0.00869456975067427,"800/8829/6711/2013/4082/1266/87/6422/5074/10787/4642/2934",12,"PRKAA2","GO_BP"
"GO:0006956","complement activation","5/133","67/18986",0.0746268656716418,10.6531253506902,6.64809391558759,0.00010665473202719,0.0102777734971997,0.00869456975067427,"966/716/2/3075/1191",5,"PRKAA2","GO_BP"
"GO:0046545","development of primary female sexual characteristics","6/133","107/18986",0.0560747663551402,8.00477830089242,6.1029200079227,0.000106882003922626,0.0102777734971997,0.00869456975067427,"7026/2/6586/6422/23414/26471",6,"PRKAA2","GO_BP"
"GO:0051216","cartilage development","8/133","209/18986",0.0382775119617225,5.46418678274634,5.45058710817242,0.000113924432892894,0.0105336283336352,0.00891101232182471,"5396/2487/4781/4256/4774/129642/1513/2202",8,"PRKAA2","GO_BP"
"GO:0030193","regulation of blood coagulation","5/133","69/18986",0.072463768115942,10.3443391086412,6.53112343253226,0.000122732748896162,0.0105374831552276,0.00891427334087911,"7035/5592/2152/857/928",5,"PRKAA2","GO_BP"
"GO:0035567","non-canonical Wnt signaling pathway","5/133","69/18986",0.072463768115942,10.3443391086412,6.53112343253226,0.000122732748896162,0.0105374831552276,0.00891427334087911,"2487/9863/2719/6422/166336",5,"PRKAA2","GO_BP"
"GO:0007229","integrin-mediated signaling pathway","6/133","111/18986",0.0540540540540541,7.71631782158098,5.96060215969916,0.000130888932930154,0.0108502411987618,0.00917885366319631,"8829/2013/8516/3672/9358/667",6,"PRKAA2","GO_BP"
"GO:0050678","regulation of epithelial cell proliferation","11/133","406/18986",0.0270935960591133,3.86766176525057,4.90579024497456,0.000136552327035089,0.0109037644523048,0.00922413211395604,"7026/8828/2152/4781/8829/182/857/2719/6422/26471/64919",11,"PRKAA2","GO_BP"
"GO:1900046","regulation of hemostasis","5/133","71/18986",0.0704225352112676,10.0529492745949,6.4188462906425,0.000140605947596276,0.0109037644523048,0.00922413211395604,"7035/5592/2152/857/928",5,"PRKAA2","GO_BP"
"GO:0050866","negative regulation of cell activation","8/133","219/18986",0.0365296803652968,5.21468053695884,5.26902403414586,0.000157182958805003,0.0117501387079077,0.00994012960140013,"5788/5592/969/10457/928/6422/5074/8654",8,"PRKAA2","GO_BP"
"GO:0040013","negative regulation of locomotion","11/133","416/18986",0.0264423076923077,3.77468912666281,4.80613464139285,0.000168782106814282,0.0117501387079077,0.00994012960140013,"7026/4223/5592/8829/5793/9863/182/969/6422/4681/2192",11,"PRKAA2","GO_BP"
"GO:0030514","negative regulation of BMP signaling pathway","5/133","74/18986",0.0675675675675676,9.64539727697622,6.25853914122319,0.000171071071038589,0.0117501387079077,0.00994012960140013,"857/91851/6422/5654/4681",5,"PRKAA2","GO_BP"
"GO:0060411","cardiac septum morphogenesis","5/133","74/18986",0.0675675675675676,9.64539727697622,6.25853914122319,0.000171071071038589,0.0117501387079077,0.00994012960140013,"8828/8829/182/6586/23414",5,"PRKAA2","GO_BP"
"GO:0050818","regulation of coagulation","5/133","76/18986",0.0657894736842105,9.39157103284527,6.15666033824096,0.000194018167294943,0.0129561020604734,0.0109603245384161,"7035/5592/2152/857/928",5,"PRKAA2","GO_BP"
"GO:0007009","plasma membrane organization","7/133","173/18986",0.0404624277456647,5.77608761788865,5.30038231975879,0.000219280387177511,0.0138839388499453,0.0117452359480227,"6711/57088/857/2013/928/1191/2934",7,"PRKAA2","GO_BP"
"GO:0046660","female sex differentiation","6/133","122/18986",0.0491803278688525,7.02058424750401,5.60328286242182,0.000219463259691315,0.0138839388499453,0.0117452359480227,"7026/2/6586/6422/23414/26471",6,"PRKAA2","GO_BP"
"GO:0031589","cell-substrate adhesion","10/133","361/18986",0.0277008310249307,3.95434569804011,4.76000775117757,0.000232065191749958,0.0143047364350487,0.0121012132378116,"8829/182/2013/8516/3672/9358/87/6422/2199/2192",10,"PRKAA2","GO_BP"
"GO:0030510","regulation of BMP signaling pathway","6/133","124/18986",0.0483870967741935,6.90734901770555,5.54307162475318,0.000239702981990322,0.0144061492176183,0.0121870042422448,"857/2719/91851/6422/5654/4681",6,"PRKAA2","GO_BP"
"GO:0030178","negative regulation of Wnt signaling pathway","7/133","181/18986",0.0386740331491713,5.52079092759523,5.13284238780599,0.000288913139765349,0.0169401753169731,0.0143306851354725,"2487/27303/857/2719/6422/80114/27122",7,"PRKAA2","GO_BP"
"GO:0007160","cell-matrix adhesion","8/133","241/18986",0.033195020746888,4.7386516082738,4.90593379366473,0.000300968407743676,0.0172268583860904,0.0145732071117991,"8829/182/2013/8516/3672/9358/87/6422",8,"PRKAA2","GO_BP"
"GO:0002920","regulation of humoral immune response","4/133","48/18986",0.0833333333333333,11.8959899749373,6.34835413050027,0.000352688358390405,0.0190230245943421,0.0160926891655438,"5788/966/2/3075",4,"PRKAA2","GO_BP"
"GO:0050878","regulation of body fluid levels","10/133","381/18986",0.026246719160105,3.74676849604326,4.54894405534943,0.000356088230759315,0.0190230245943421,0.0160926891655438,"7035/966/5592/2152/857/2013/928/50808/375033/2192",10,"PRKAA2","GO_BP"
"GO:0090287","regulation of cellular response to growth factor stimulus","10/133","381/18986",0.026246719160105,3.74676849604326,4.54894405534943,0.000356088230759315,0.0190230245943421,0.0160926891655438,"8829/857/2719/8516/91851/8425/6422/27122/5654/4681",10,"PRKAA2","GO_BP"
