"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status","axis","lr_axis","focus_hit"
"Fibroblast","VSMC","LAMA4","ITGA1_ITGB1",0.000878194522034872,0,"LAMA4_ITGA1_ITGB1","LAMA4 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","LAMA4-ITGA1_ITGB1",TRUE
"EC","VSMC","FN1","ITGAV_ITGB1",0.000855272226199117,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","EC -> VSMC","FN1-ITGAV_ITGB1",TRUE
"Fibroblast","VSMC","COL6A3","ITGA11_ITGB1",0.000833702316728368,0,"COL6A3_ITGA11_ITGB1","COL6A3 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL6A3-ITGA11_ITGB1",TRUE
"Fibroblast","VSMC","LAMA4","CD44",0.000830059564133034,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","LAMA4-CD44",TRUE
"Fibroblast","VSMC","FN1","SDC4",0.000821575754076964,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","FN1-SDC4",TRUE
"Macrophage","VSMC","COL1A1","ITGA1_ITGB1",0.000744819408596742,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Macrophage -> VSMC","COL1A1-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL6A1","ITGA10_ITGB1",0.000717958613636018,0,"COL6A1_ITGA10_ITGB1","COL6A1 - (ITGA10+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL6A1-ITGA10_ITGB1",TRUE
"Fibroblast","VSMC","COL4A1","ITGA10_ITGB1",0.000715080831719099,0,"COL4A1_ITGA10_ITGB1","COL4A1 - (ITGA10+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL4A1-ITGA10_ITGB1",TRUE
"Fibroblast","VSMC","COL6A2","ITGA10_ITGB1",0.000686539421170412,0,"COL6A2_ITGA10_ITGB1","COL6A2 - (ITGA10+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL6A2-ITGA10_ITGB1",TRUE
"Macrophage","VSMC","SPP1","ITGAV_ITGB1",0.000637636228271998,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","Ruptured","Macrophage -> VSMC","SPP1-ITGAV_ITGB1",TRUE
"Fibroblast","VSMC","COL6A1","ITGA11_ITGB1",0.000567517922554677,0,"COL6A1_ITGA11_ITGB1","COL6A1 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL6A1-ITGA11_ITGB1",TRUE
"Fibroblast","VSMC","COL4A1","ITGA11_ITGB1",0.000565235785547356,0,"COL4A1_ITGA11_ITGB1","COL4A1 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","Fibroblast -> VSMC","COL4A1-ITGA11_ITGB1",TRUE
"EC","VSMC","COL4A1","ITGA1_ITGB1",0.000564827844789566,0,"COL4A1_ITGA1_ITGB1","COL4A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","Ruptured","EC -> VSMC","COL4A1-ITGA1_ITGB1",TRUE
"EC","VSMC","MIF","CD74_CD44",0.00323388044909707,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA","EC -> VSMC","MIF-CD74_CD44",TRUE
"Fibroblast","VSMC","MIF","CD74_CD44",0.0029533724481178,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA","Fibroblast -> VSMC","MIF-CD74_CD44",TRUE
"Fibroblast","VSMC","LAMA2","CD44",0.00279201655105528,0,"LAMA2_CD44","LAMA2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMA2-CD44",TRUE
"Fibroblast","VSMC","COL1A2","CD44",0.00272486909398992,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL1A2-CD44",TRUE
"Fibroblast","VSMC","LAMA2","ITGA1_ITGB1",0.00271965678029975,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMA2-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL1A2","ITGA1_ITGB1",0.00265413317580033,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL1A2-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","LAMA2","ITGA7_ITGB1",0.00249979365056373,0,"LAMA2_ITGA7_ITGB1","LAMA2 - (ITGA7+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","LAMA2-ITGA7_ITGB1",TRUE
"Fibroblast","VSMC","COL6A2","CD44",0.00246131939605147,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A2-CD44",TRUE
"Fibroblast","VSMC","COL6A2","ITGA1_ITGB1",0.00239701252917501,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A2-ITGA1_ITGB1",TRUE
"Fibroblast","VSMC","COL6A3","CD44",0.00226234298390817,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A3-CD44",TRUE
"Fibroblast","VSMC","COL6A1","CD44",0.00222555504736919,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512","STA","Fibroblast -> VSMC","COL6A1-CD44",TRUE
