"global_subcluster","ct_VSMC","ct_Macrophage","ct_EC","ct_Fibroblast","ct_T_NK","ct_B_Plasma","ct_Mast","n_cells","assigned_celltype"
"0",-0.330973877813377,-0.738200725335548,-0.302918492659769,1.49765729945761,-0.422736634239994,-0.196808258899896,-0.0960973438138532,8601,"Fibroblast"
"1",1.77805655428198,0.151945766247832,-0.133492913715745,0.214383325492672,-0.235106871763145,-0.08009501909202,0.0346046557394076,7173,"VSMC"
"10",0.781168942405524,-0.329497514086981,-0.293935469093632,0.213897299338957,-0.305185133919816,-0.121857825384796,-0.0848267547925746,1402,"VSMC"
"11",-0.235567363716294,-0.736584281799293,3.34134924135904,-0.841078890271759,-0.5024815041055,-0.0197841704753391,-0.0365496895643411,1363,"EC"
"12",-0.016424113554244,-0.105085113517359,0.0579571329970607,0.0798337139966812,-0.15895865147342,-0.399441817565789,-0.30767158373497,786,"Fibroblast"
"13",-0.0615013518492652,-0.520027353036863,-0.212741520152462,0.357244298290706,-0.312891415940229,-0.17846133266785,-0.113019543648578,673,"Fibroblast"
"14",-0.709729171768508,-0.564360772788961,-0.479525266853011,-0.807836852256355,-0.353354092416076,5.27768705062851,-0.155617293557547,558,"B_Plasma"
"15",0.426837713960721,-0.848587541195046,1.74751977990511,0.317001865086576,-0.50105467447246,0.0351560832278581,-0.125036407235944,420,"EC"
"16",-0.765586895537276,0.490422761059536,-0.515914050570389,-0.912710324123104,0.110060445325575,0.174637468722264,-0.0847771348084881,329,"Macrophage"
"17",-0.532244873406057,-0.437004078887951,-0.342065114401641,-0.603778149842662,-0.256199728526757,-0.0228268268658663,10.7041171487101,265,"Mast"
"18",-0.688850676819685,-0.731036368945668,2.09135503139617,-0.810026383358182,-0.441896402262986,-0.227324946785024,-0.120521743911596,244,"EC"
"19",0.214435926532088,0.815668562317386,-0.489880200650352,0.301641162732822,-0.374644060579885,-0.208893754957251,-0.0438635272413733,216,"Macrophage"
"2",-0.697625694178314,0.62181919017641,-0.321615556295336,-0.848886980824922,-0.150651704629046,-0.0705120881287973,-0.0558823343900998,6481,"Macrophage"
"20",0.899944353432101,-0.666579024227998,-0.317613976014715,0.803542830788828,-0.453798832544413,-0.243515155926072,-0.117473132189169,187,"VSMC"
"21",-0.807099598320556,0.196738986200928,-0.523640382540987,-1.00949017599248,1.31996609860791,-0.168606127701443,-0.065807898785825,105,"T_NK"
"22",-0.224487075079729,0.0344606931486686,0.0406978229768223,-0.0861118038623884,0.08992548796467,0.164874001906594,-0.00859953694317853,39,"B_Plasma"
"3",-0.664156094314099,2.06459529356536,-0.380568729334535,-0.757634511419081,-0.144842963358722,-0.0475128728540964,-0.0711376377743393,4192,"Macrophage"
"4",-0.457595519913097,0.220730771434733,-0.13308791870258,-0.459443191639579,-0.0585521845346979,-0.042696770148361,-0.023617616201653,3923,"Macrophage"
"5",-0.489941664259719,-0.444018406580483,-0.413256716890802,-0.572452218757105,1.70602024994403,-0.0494918380990283,-0.0750412449547864,3094,"T_NK"
"6",1.15763411020336,-0.626677232946767,-0.44407764225433,0.885452953794568,-0.41409587747902,-0.14488784176463,-0.0700144332621124,2943,"VSMC"
"7",-0.707591310961475,-0.704615379301221,2.70415406785233,-0.848176557960055,-0.410845476216126,0.30582897297545,-0.0720254496238124,2490,"EC"
"8",-0.606058902420836,-0.482975400103214,-0.483379134981394,-0.684638232876771,3.16494828225157,-0.0655079880392887,-0.0894781579327211,1910,"T_NK"
"9",0.0992968386050842,0.14578948353274,-0.00125001997232688,0.0367206882784031,0.0456581583138079,0.508593829282287,0.00326007314756252,1597,"B_Plasma"
