"analysis","dropped_sample","inflammatory_prop_ruptured","inflammatory_prop_STA","inflammatory_prop_delta","AMPK_SIRT1_delta","Inflammation_delta","Contractile_delta","Synthetic_delta","ECM_Remodeling_delta","Metabolic_Stress_delta"
"all_ruptured_samples",NA,0.87091280653951,0.0607171497307824,0.810195656808727,0.0640017376771141,0.526383289705147,-0.144657714487443,-0.109459727637942,-0.110941621435023,0.0364932894701648
"drop_ACom_RR","ACom_RR",0.836099585062241,0.0607171497307824,0.775382435331458,0.0536876596887775,0.302037574737717,-0.098610699520265,-0.0579399727699699,-0.0336233181525576,0.0267529160351329
"drop_MCA_R1","MCA_R1",0.843971631205674,0.0607171497307824,0.783254481474891,0.0604624983034939,0.613539921112393,-0.115548487906102,-0.0377742824786049,0.0230138529686167,0.05668965630224
"drop_MCA_R2","MCA_R2",0.956043956043956,0.0607171497307824,0.895326806313174,0.0823398754535077,0.670936678828635,-0.247148639485628,-0.284740981311104,-0.414859501767355,0.0173392808639964
