"logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","vsmc_state","vsmc_state_fraction","significant","DA_FDR"
-5.97507394799763,11.9471399992131,4.08813214359924,0.0432565601407953,0.0651463951531733,1,NA,"contractile VSMC",0.651685393258427,TRUE,0.0651463951531733
1.59898982843973,11.6311423248724,0.491199374765542,0.483436471793632,0.551401256947994,2,NA,"inflammatory VSMC",1,FALSE,0.551401256947994
-7.65740110478207,11.1685702803454,9.92118366277501,0.00164678797304052,0.0202122372476989,3,NA,"synthetic VSMC",1,TRUE,0.0202122372476989
-0.254737862189589,11.0843604968495,0.0258990623426103,0.872155782253339,0.900134231020316,4,NA,"inflammatory VSMC",1,FALSE,0.900134231020316
-5.07680713745819,11.1898312786833,5.72112071687628,0.0168112333237638,0.0349329191337899,5,NA,"contractile VSMC",1,TRUE,0.0349329191337899
-5.13382804155589,10.8568487024275,11.1340840697114,0.000855852785265665,0.0202122372476989,6,NA,"metabolic-stress VSMC",0.571428571428571,TRUE,0.0202122372476989
-8.91402778604736,12.335763193784,7.35606841338837,0.00671432330919196,0.0202122372476989,7,NA,"synthetic VSMC",0.627118644067797,TRUE,0.0202122372476989
-7.43194346374754,12.2641258656335,5.52589880088288,0.0187887401406275,0.0371043404983847,8,NA,"contractile VSMC",0.617886178861789,TRUE,0.0371043404983847
1.90977684576601,10.7108096031905,2.40096820535629,0.121344971015957,0.156374113201503,9,NA,"inflammatory VSMC",1,FALSE,0.156374113201503
-3.84875756999345,12.1316786838812,2.05379908479528,0.151910684630853,0.191272157571641,10,NA,"contractile VSMC",1,FALSE,0.191272157571641
-3.48142645831203,11.1613936162396,3.39013957533707,0.0656667171737264,0.0924088191901761,11,NA,"metabolic-stress VSMC",0.511111111111111,TRUE,0.0924088191901761
0.792779543201668,11.0181536710506,0.282132690700265,0.595338380107819,0.654241117362303,12,NA,"inflammatory VSMC",1,FALSE,0.654241117362303
-7.00815207640488,11.8662539141325,5.26093092077752,0.0218646696852558,0.0388566415549403,13,NA,"synthetic VSMC",1,TRUE,0.0388566415549403
1.34458695385416,11.5498322783896,0.374468898906635,0.540615632922803,0.606972786422353,14,NA,"inflammatory VSMC",1,FALSE,0.606972786422353
-6.63879699914879,12.1362987830356,4.72679512369456,0.0297588078447591,0.0490547132847354,15,NA,"metabolic-stress VSMC",1,TRUE,0.0490547132847354
2.13765367297527,10.8073753455963,2.63768963046209,0.104439651667338,0.137049500711149,16,NA,"inflammatory VSMC",1,FALSE,0.137049500711149
-6.42366611981235,12.3547579313411,4.53166561289296,0.0333385284588026,0.0532617244042172,17,NA,"ECM-remodeling VSMC",0.728260869565217,TRUE,0.0532617244042172
-8.35299882315007,11.8089309473897,7.08886983889547,0.00778969525783565,0.0202122372476989,18,NA,"synthetic VSMC",0.986842105263158,TRUE,0.0202122372476989
-5.35610558992376,11.9378582689933,3.49407116000722,0.0616672086396943,0.0881095033090885,19,NA,"contractile VSMC",0.654320987654321,TRUE,0.0881095033090885
-5.30853758585279,10.9928080743065,8.959623312325,0.00277821143632986,0.0202122372476989,20,NA,"synthetic VSMC",0.954545454545455,TRUE,0.0202122372476989
1.09791491550009,10.5865422492195,0.955357550757321,0.328422670540234,0.388855776159947,21,NA,"inflammatory VSMC",1,FALSE,0.388855776159947
2.89843372210161,11.2309955270419,2.0196458750927,0.1553588996584,0.195350206713325,22,NA,"inflammatory VSMC",1,FALSE,0.195350206713325
-7.46062782489626,12.280434359364,5.55190234738259,0.0185120339542669,0.0370637933032855,23,NA,"synthetic VSMC",0.578313253012048,TRUE,0.0370637933032855
-8.69964380183163,12.1351435095921,7.11082071991173,0.00769506031736525,0.0202122372476989,24,NA,"metabolic-stress VSMC",0.726415094339623,TRUE,0.0202122372476989
-5.41843018551448,12.0046080944369,3.53070809656639,0.0603199267283122,0.0868495241319681,25,NA,"contractile VSMC",0.602150537634409,TRUE,0.0868495241319681
-7.84996030319995,11.3567187653504,8.5633619484651,0.00345065733036185,0.0202122372476989,26,NA,"synthetic VSMC",0.986301369863014,TRUE,0.0202122372476989
-8.41462651270163,11.8710669324664,6.99431114505724,0.00821116922102448,0.0202122372476989,27,NA,"synthetic VSMC",0.989010989010989,TRUE,0.0202122372476989
-7.77367641629428,11.2758985716309,8.98517082042552,0.00273972881878982,0.0202122372476989,28,NA,"synthetic VSMC",0.666666666666667,TRUE,0.0202122372476989
-7.90159403303823,11.3868844213524,8.41026469244982,0.00375287648046838,0.0202122372476989,29,NA,"synthetic VSMC",1,TRUE,0.0202122372476989
0.500367603859065,11.4395315773398,0.0593856779115365,0.807482943579824,0.840827663348187,30,NA,"inflammatory VSMC",1,FALSE,0.840827663348187
-5.71786211524501,12.0278693112637,3.81557914717414,0.050852670062027,0.0748900510613321,31,NA,"metabolic-stress VSMC",1,TRUE,0.0748900510613321
-3.69355761719403,12.3324257253161,1.93201411683,0.164621157831897,0.205611165002891,32,NA,"contractile VSMC",1,FALSE,0.205611165002891
-5.40459574496379,11.4453147703427,4.76364066810542,0.0291291348985774,0.0483585104277095,33,NA,"metabolic-stress VSMC",0.959183673469388,TRUE,0.0483585104277095
-8.2910077563205,11.7473246869612,7.16016258502578,0.00748660567986317,0.0202122372476989,34,NA,"metabolic-stress VSMC",0.859375,TRUE,0.0202122372476989
-8.06757414247034,11.5354750147249,7.67764614069362,0.00561859201213125,0.0202122372476989,35,NA,"metabolic-stress VSMC",0.914893617021277,TRUE,0.0202122372476989
-3.08179553045285,11.355814319459,2.1592961216075,0.141793881523416,0.179502973488938,36,NA,"contractile VSMC",1,FALSE,0.179502973488938
-6.66987859914426,11.5606282340011,5.71267690665896,0.0168921519166155,0.034945405184484,37,NA,"contractile VSMC",0.882352941176471,TRUE,0.034945405184484
-8.29475759491207,11.7638984580648,7.12920439167021,0.00761670961534411,0.0202122372476989,38,NA,"synthetic VSMC",0.989130434782609,TRUE,0.0202122372476989
-4.81958888047011,11.2497553856094,4.91399143319194,0.0267000753495248,0.045210835392208,39,NA,"contractile VSMC",0.4,TRUE,0.045210835392208
-0.154351637469018,11.53876630095,0.00524085742046032,0.942292424767747,0.958733732070128,40,NA,"inflammatory VSMC",1,FALSE,0.958733732070128
-8.91527849175689,12.3332823192839,7.35590896093666,0.00671491760622759,0.0202122372476989,41,NA,"ECM-remodeling VSMC",1,TRUE,0.0202122372476989
-8.60861847350889,12.0369280163719,6.98343112826507,0.00826113890768447,0.0202122372476989,42,NA,"contractile VSMC",0.484375,TRUE,0.0202122372476989
0.604902828875461,10.612316565431,0.296015831472939,0.586423487013473,0.648261982681956,43,NA,"inflammatory VSMC",1,FALSE,0.648261982681956
-7.73761520737386,11.2466728021949,9.17068364459361,0.002476049701373,0.0202122372476989,44,NA,"synthetic VSMC",1,TRUE,0.0202122372476989
-7.99431858269265,11.469287384318,7.9799416134987,0.00475496260951383,0.0202122372476989,45,NA,"synthetic VSMC",1,TRUE,0.0202122372476989
2.69007162644129,10.3641131973748,5.30522170739294,0.02131631355442,0.0387811552779455,46,NA,"inflammatory VSMC",1,TRUE,0.0387811552779455
-4.77094253804838,11.6361202355119,3.40398117138407,0.0651184493211019,0.0919145434441574,47,NA,"contractile VSMC",0.73134328358209,TRUE,0.0919145434441574
-6.07274675946447,11.0519718648438,9.31226084877517,0.00229226891197099,0.0202122372476989,48,NA,"synthetic VSMC",0.863636363636364,TRUE,0.0202122372476989
-6.55034080438214,11.4531630526221,6.10779577021379,0.0135030065649523,0.0295042274592517,49,NA,"contractile VSMC",0.906976744186046,TRUE,0.0295042274592517
-3.20167728706703,11.2810183408587,2.44291081078871,0.118141760005008,0.152879697759601,50,NA,"contractile VSMC",1,FALSE,0.152879697759601
-3.65691968263434,11.2757833364903,3.12289605514897,0.0772811803795199,0.105723374331513,51,NA,"metabolic-stress VSMC",0.690909090909091,FALSE,0.105723374331513
1.51080756747816,10.2405768671147,2.18401035544539,0.139535058172013,0.177607379637774,52,NA,"inflammatory VSMC",1,FALSE,0.177607379637774
-8.25327841605595,11.7205418038518,7.21244378202669,0.0072720267517768,0.0202122372476989,53,NA,"synthetic VSMC",1,TRUE,0.0202122372476989
-5.09376773186395,11.7243857887102,3.57420265248268,0.0587610154896523,0.0852628731754985,54,NA,"contractile VSMC",1,TRUE,0.0852628731754985
-7.52947945197011,11.0514488066435,11.9840474928935,0.000542602980667687,0.0174568476194121,55,NA,"metabolic-stress VSMC",0.890909090909091,TRUE,0.0174568476194121
1.70956991045803,10.8101621217963,1.70679104516194,0.19148275180279,0.235379983441374,56,NA,"inflammatory VSMC",1,FALSE,0.235379983441374
-7.49947959752889,11.0221413237917,12.5880019061066,0.000393009965271722,0.0152816485467815,57,NA,"synthetic VSMC",0.952380952380952,TRUE,0.0152816485467815
-5.86027937989778,12.147143387162,3.97101138092019,0.0463626711302169,0.0692614108990803,58,NA,"synthetic VSMC",0.584269662921348,TRUE,0.0692614108990803
-6.43517170676866,11.3623806120836,6.49687903217116,0.0108460948144458,0.0245616661696066,59,NA,"synthetic VSMC",0.811320754716981,TRUE,0.0245616661696066
2.75505001040919,10.4120864131832,5.35986571783197,0.020659343492771,0.0387811552779455,60,NA,"inflammatory VSMC",1,TRUE,0.0387811552779455
1.28023176998198,11.5145193659274,0.347533221984443,0.555548531192824,0.620750634254976,61,NA,"inflammatory VSMC",1,FALSE,0.620750634254976
-6.61486024418775,11.5183154231112,5.84815069768018,0.0156410004627194,0.0333174735883955,62,NA,"synthetic VSMC",0.758064516129032,TRUE,0.0333174735883955
-0.176259888943669,11.5711197031997,0.00662568411975787,0.935129561587514,0.952484586202129,63,NA,"inflammatory VSMC",1,FALSE,0.952484586202129
-5.59135666224493,11.2268428970051,6.1780676523016,0.012977806390403,0.0286926382991612,64,NA,"metabolic-stress VSMC",0.73469387755102,TRUE,0.0286926382991612
-5.19122796133394,11.7983808846749,3.55034093311038,0.0596108768593111,0.0863617206672938,65,NA,"contractile VSMC",0.986301369863014,TRUE,0.0863617206672938
-5.47766461617355,11.5148612519013,4.554627876535,0.0328948941825428,0.0527335674782,66,NA,"contractile VSMC",0.955223880597015,TRUE,0.0527335674782
-8.66452755610721,12.0925220574776,7.05711280446683,0.00792871847773682,0.0202122372476989,67,NA,"metabolic-stress VSMC",0.780821917808219,TRUE,0.0202122372476989
-7.07675472577008,11.9265144963094,5.18262336401813,0.0228702372331641,0.0394169284238796,68,NA,"metabolic-stress VSMC",0.851351351351351,TRUE,0.0394169284238796
-4.49928099818266,11.400315208001,3.81435125442521,0.0508899167983757,0.0748900510613321,69,NA,"contractile VSMC",0.92,TRUE,0.0748900510613321
0.492889616972936,10.4238221817167,0.224269637893898,0.635833449937657,0.687938207414423,70,NA,"inflammatory VSMC",1,FALSE,0.687938207414423
-7.27521812200183,12.1113819377209,5.34625777881966,0.0208209625103378,0.0387811552779455,71,NA,"metabolic-stress VSMC",0.662921348314607,TRUE,0.0387811552779455
-7.50365472606873,12.3228978065119,5.59720581723648,0.0180399699531674,0.0365897651441416,72,NA,"metabolic-stress VSMC",0.5,TRUE,0.0365897651441416
-8.73676865421012,12.1703154745823,7.16219787215998,0.00747813228167905,0.0202122372476989,73,NA,"contractile VSMC",0.872727272727273,TRUE,0.0202122372476989
0.827023582997522,11.2568223851045,0.194133898602172,0.659523571175163,0.708096078143184,74,NA,"inflammatory VSMC",1,FALSE,0.708096078143184
-8.44407846974133,11.8992917092072,6.94729488474133,0.00842935033638364,0.0202122372476989,75,NA,"synthetic VSMC",0.91578947368421,TRUE,0.0202122372476989
-6.22156025041144,11.1767750159426,7.55205133944802,0.00602299485143904,0.0202122372476989,76,NA,"synthetic VSMC",0.533333333333333,TRUE,0.0202122372476989
-8.53247354381229,11.9780930562236,6.90843302811914,0.00861416625144215,0.0202122372476989,77,NA,"ECM-remodeling VSMC",0.804347826086957,TRUE,0.0202122372476989
