"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","status"
"VSMC","EC","VEGFB","FLT1",0.00120122238123863,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","STA"
"EC","EC","VEGFB","FLT1",0.000300133877582793,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","STA"
"Fibroblast","EC","VEGFB","FLT1",0.00134122602622546,0,"VEGFB_VEGFR1","VEGFB - VEGFR1","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338","STA"
"Fibroblast","VSMC","IGF1","IGF1R",2.20422107829232e-05,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834","STA"
"Fibroblast","Macrophage","IGF1","IGF1R",8.72805787554616e-05,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834","STA"
"Fibroblast","EC","IGF1","IGF1R",5.00784565925739e-05,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834","STA"
"Fibroblast","Fibroblast","IGF1","IGF1R",1.84417247619341e-05,0,"IGF1_IGF1R","IGF1 - IGF1R","IGF","Secreted Signaling","PMID: 14604834","STA"
"Fibroblast","EC","IGF1","ITGA6_ITGB4",5.13715607605724e-05,0,"IGF1_ITGA6_ITGB4","IGF1 - (ITGA6+ITGB4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","STA"
"VSMC","EC","CCL2","ACKR1",0.00156879017825539,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381","STA"
"EC","EC","CCL2","ACKR1",0.000516027950152288,0,"CCL2_ACKR1","CCL2 - ACKR1","CCL","Secreted Signaling","PMID: 26740381","STA"
"T_NK","EC","CCL5","ACKR1",0.00293832108548139,0,"CCL5_ACKR1","CCL5 - ACKR1","CCL","Secreted Signaling","PMID: 26740381","STA"
"EC","EC","CCL14","ACKR1",0.00333274319248794,0,"CCL14_ACKR1","CCL14 - ACKR1","CCL","Secreted Signaling","PMID: 26740381","STA"
"Macrophage","EC","CXCL2","ACKR1",0.000338164834890191,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381","STA"
"EC","EC","CXCL2","ACKR1",0.000849366784331873,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381","STA"
"VSMC","EC","CXCL8","ACKR1",0.000660330465607379,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381","STA"
"Macrophage","EC","CXCL8","ACKR1",0.00117148838681812,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381","STA"
"VSMC","Macrophage","CXCL12","CXCR4",0.000108019880221846,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"EC","Macrophage","CXCL12","CXCR4",0.00012798236880974,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","Macrophage","CXCL12","CXCR4",0.000381854357343148,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","T_NK","CXCL12","CXCR4",0.000382175108860891,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"EC","T_NK","CXCL12","CXCR4",0.000452130962232552,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","T_NK","CXCL12","CXCR4",0.00132402607594733,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","VSMC","CXCL12","ACKR3",8.60337585756133e-05,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"EC","VSMC","CXCL12","ACKR3",0.000101942903535032,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","VSMC","CXCL12","ACKR3",0.000304533190562398,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","EC","CXCL12","ACKR3",0.000209318833306506,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","Fibroblast","CXCL12","ACKR3",0.000361560771767842,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"EC","Fibroblast","CXCL12","ACKR3",0.000427905380281779,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"Fibroblast","Fibroblast","CXCL12","ACKR3",0.0012590317279921,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","Macrophage","MIF","CD74_CXCR4",0.00247847533757664,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"Macrophage","Macrophage","MIF","CD74_CXCR4",0.000593487551606521,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"EC","Macrophage","MIF","CD74_CXCR4",0.00238136745261315,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"Fibroblast","Macrophage","MIF","CD74_CXCR4",0.00217071643163892,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"T_NK","Macrophage","MIF","CD74_CXCR4",0.00168729424032941,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"VSMC","T_NK","MIF","CD74_CXCR4",0.00179731342046699,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"Macrophage","T_NK","MIF","CD74_CXCR4",0.00042738056109839,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"EC","T_NK","MIF","CD74_CXCR4",0.0017262699161915,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"Fibroblast","T_NK","MIF","CD74_CXCR4",0.00157233529651178,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"T_NK","T_NK","MIF","CD74_CXCR4",0.0012213094968801,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","STA"
"VSMC","VSMC","MIF","CD74_CD44",0.00336283664836861,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"EC","VSMC","MIF","CD74_CD44",0.00323388044909707,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"Fibroblast","VSMC","MIF","CD74_CD44",0.0029533724481178,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"T_NK","VSMC","MIF","CD74_CD44",0.00229956643350725,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"VSMC","Macrophage","MIF","CD74_CD44",0.00509832324849695,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"EC","Macrophage","MIF","CD74_CD44",0.0049111716728456,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"Fibroblast","Macrophage","MIF","CD74_CD44",0.00450186470277699,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"T_NK","Macrophage","MIF","CD74_CD44",0.00351712679774269,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","STA"
"VSMC","VSMC","MIF","ACKR3",0.000706353170158591,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"EC","VSMC","MIF","ACKR3",0.00067750185647769,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"Fibroblast","VSMC","MIF","ACKR3",0.00061525864401027,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"T_NK","VSMC","MIF","ACKR3",0.000476626825442302,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"VSMC","EC","MIF","ACKR3",0.0004869577155376,0.02,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"EC","EC","MIF","ACKR3",0.000466967527853318,0.04,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"VSMC","Fibroblast","MIF","ACKR3",0.00283559588217573,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"Macrophage","Fibroblast","MIF","ACKR3",0.000683644625030854,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"EC","Fibroblast","MIF","ACKR3",0.00272544923576756,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"Fibroblast","Fibroblast","MIF","ACKR3",0.00248624872807967,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"T_NK","Fibroblast","MIF","ACKR3",0.00193388432118211,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090","STA"
"VSMC","Macrophage","IL1B","IL1R1_IL1RAP",0.000148676835989222,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060","STA"
"Macrophage","Macrophage","IL1B","IL1R1_IL1RAP",0.000112207903519772,0,"IL1B_IL1R1_IL1RAP","IL1B - (IL1R1+IL1RAP)","IL1","Secreted Signaling","KEGG: hsa04060","STA"
"VSMC","Macrophage","IL1B","IL1R2",0.000725400247143524,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060","STA"
"Macrophage","Macrophage","IL1B","IL1R2",0.000549302654150759,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060","STA"
