"tf","tf_group","NES","sample","status","vsmc_state","cells"
"ARID2","STA1--STA--metabolic-stress VSMC",4.48950446901255,"STA1","STA","metabolic-stress VSMC",1432
"ARID2","STA1--STA--synthetic VSMC",4.33730609636624,"STA1","STA","synthetic VSMC",1049
"ARID2","STA2--STA--ECM-remodeling VSMC",4.73320546773406,"STA2","STA","ECM-remodeling VSMC",459
"ARID2","STA2--STA--contractile VSMC",4.01424708718816,"STA2","STA","contractile VSMC",989
"ARID2","STA2--STA--inflammatory VSMC",5.15847932552256,"STA2","STA","inflammatory VSMC",378
"ARID2","STA2--STA--metabolic-stress VSMC",4.11828967519911,"STA2","STA","metabolic-stress VSMC",943
"ARID2","STA2--STA--synthetic VSMC",4.06433295100515,"STA2","STA","synthetic VSMC",1620
"ARID2","STA3--STA--contractile VSMC",4.29080249985649,"STA3","STA","contractile VSMC",25
"ARID3A","ACom-RR--Ruptured--contractile VSMC",0.878950457534436,"ACom_RR","Ruptured","contractile VSMC",32
"ARID3A","ACom-RR--Ruptured--inflammatory VSMC",2.58396787559597,"ACom_RR","Ruptured","inflammatory VSMC",945
"ARID3A","ACom-RR--Ruptured--metabolic-stress VSMC",1.34232576882459,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ARID3A","MCA-R1--Ruptured--inflammatory VSMC",2.21972246806605,"MCA_R1","Ruptured","inflammatory VSMC",534
"ARID3A","MCA-R2--Ruptured--contractile VSMC",0.40695098280553,"MCA_R2","Ruptured","contractile VSMC",182
"ARID3A","MCA-R2--Ruptured--inflammatory VSMC",2.15396283292985,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ARID3A","MCA-R2--Ruptured--metabolic-stress VSMC",0.912749672340226,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ARID3A","MCA-R2--Ruptured--synthetic VSMC",0.331016373375032,"MCA_R2","Ruptured","synthetic VSMC",29
"ARID3A","STA1--STA--ECM-remodeling VSMC",-1.04621394941152,"STA1","STA","ECM-remodeling VSMC",637
"ARID3A","STA1--STA--contractile VSMC",-0.691115990719867,"STA1","STA","contractile VSMC",1019
"ARID3A","STA1--STA--inflammatory VSMC",1.70943475560494,"STA1","STA","inflammatory VSMC",148
"ARID3A","STA1--STA--metabolic-stress VSMC",-0.393342526759294,"STA1","STA","metabolic-stress VSMC",1432
"ARID3A","STA1--STA--synthetic VSMC",-0.696861670026761,"STA1","STA","synthetic VSMC",1049
"ARID3A","STA2--STA--ECM-remodeling VSMC",-0.252883701255762,"STA2","STA","ECM-remodeling VSMC",459
"ARID3A","STA2--STA--contractile VSMC",-0.212146910793048,"STA2","STA","contractile VSMC",989
"ARID3A","STA2--STA--inflammatory VSMC",2.64657311234984,"STA2","STA","inflammatory VSMC",378
"ARID3A","STA2--STA--metabolic-stress VSMC",-0.20592832522735,"STA2","STA","metabolic-stress VSMC",943
"ARID3A","STA2--STA--synthetic VSMC",-0.250463752333603,"STA2","STA","synthetic VSMC",1620
"ARID3A","STA3--STA--contractile VSMC",-0.438427647337192,"STA3","STA","contractile VSMC",25
"ARNT","ACom-RR--Ruptured--contractile VSMC",2.73369682625394,"ACom_RR","Ruptured","contractile VSMC",32
"ARNT","ACom-RR--Ruptured--inflammatory VSMC",3.10476548824989,"ACom_RR","Ruptured","inflammatory VSMC",945
"ARNT","ACom-RR--Ruptured--metabolic-stress VSMC",4.23416308889222,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ARNT","MCA-R1--Ruptured--inflammatory VSMC",3.02505334763904,"MCA_R1","Ruptured","inflammatory VSMC",534
"ARNT","MCA-R2--Ruptured--contractile VSMC",5.22102323750232,"MCA_R2","Ruptured","contractile VSMC",182
"ARNT","MCA-R2--Ruptured--inflammatory VSMC",3.3058304833188,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ARNT","MCA-R2--Ruptured--metabolic-stress VSMC",5.64142350813263,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ARNT","MCA-R2--Ruptured--synthetic VSMC",5.22206686014425,"MCA_R2","Ruptured","synthetic VSMC",29
"ARNT","STA1--STA--ECM-remodeling VSMC",7.00426948700686,"STA1","STA","ECM-remodeling VSMC",637
"ARNT","STA1--STA--contractile VSMC",4.99413912247589,"STA1","STA","contractile VSMC",1019
"ARNT","STA1--STA--inflammatory VSMC",3.1076480370609,"STA1","STA","inflammatory VSMC",148
"ARNT","STA1--STA--metabolic-stress VSMC",5.02942203460859,"STA1","STA","metabolic-stress VSMC",1432
"ARNT","STA1--STA--synthetic VSMC",5.35477183197741,"STA1","STA","synthetic VSMC",1049
"ARNT","STA2--STA--ECM-remodeling VSMC",6.92335972985533,"STA2","STA","ECM-remodeling VSMC",459
"ARNT","STA2--STA--contractile VSMC",5.42363348915173,"STA2","STA","contractile VSMC",989
"ARNT","STA2--STA--inflammatory VSMC",3.17795273245114,"STA2","STA","inflammatory VSMC",378
"ARNT","STA2--STA--metabolic-stress VSMC",5.41688078821794,"STA2","STA","metabolic-stress VSMC",943
"ARNT","STA2--STA--synthetic VSMC",5.7522469049562,"STA2","STA","synthetic VSMC",1620
"ARNT","STA3--STA--contractile VSMC",6.47191591101624,"STA3","STA","contractile VSMC",25
"ARNTL","ACom-RR--Ruptured--contractile VSMC",-0.525537870759509,"ACom_RR","Ruptured","contractile VSMC",32
"ARNTL","ACom-RR--Ruptured--inflammatory VSMC",1.08485199095359,"ACom_RR","Ruptured","inflammatory VSMC",945
"ARNTL","ACom-RR--Ruptured--metabolic-stress VSMC",-0.302497670578511,"ACom_RR","Ruptured","metabolic-stress VSMC",30
"ARNTL","MCA-R1--Ruptured--inflammatory VSMC",0.995055997088366,"MCA_R1","Ruptured","inflammatory VSMC",534
"ARNTL","MCA-R2--Ruptured--contractile VSMC",0.50962857978049,"MCA_R2","Ruptured","contractile VSMC",182
"ARNTL","MCA-R2--Ruptured--inflammatory VSMC",0.991753287764953,"MCA_R2","Ruptured","inflammatory VSMC",1078
"ARNTL","MCA-R2--Ruptured--metabolic-stress VSMC",0.829361396526948,"MCA_R2","Ruptured","metabolic-stress VSMC",77
"ARNTL","MCA-R2--Ruptured--synthetic VSMC",0.236274648058659,"MCA_R2","Ruptured","synthetic VSMC",29
"ARNTL","STA1--STA--ECM-remodeling VSMC",0.661062065947367,"STA1","STA","ECM-remodeling VSMC",637
"ARNTL","STA1--STA--contractile VSMC",0.812300316488146,"STA1","STA","contractile VSMC",1019
"ARNTL","STA1--STA--inflammatory VSMC",0.967412161317388,"STA1","STA","inflammatory VSMC",148
"ARNTL","STA1--STA--metabolic-stress VSMC",0.673905642089922,"STA1","STA","metabolic-stress VSMC",1432
"ARNTL","STA1--STA--synthetic VSMC",0.83042679738626,"STA1","STA","synthetic VSMC",1049
"ARNTL","STA2--STA--ECM-remodeling VSMC",1.49666082973971,"STA2","STA","ECM-remodeling VSMC",459
"ARNTL","STA2--STA--contractile VSMC",1.51286401105194,"STA2","STA","contractile VSMC",989
"ARNTL","STA2--STA--inflammatory VSMC",1.35672681623889,"STA2","STA","inflammatory VSMC",378
"ARNTL","STA2--STA--metabolic-stress VSMC",1.40621820781898,"STA2","STA","metabolic-stress VSMC",943
