"regulon","status","vsmc_state","mean_AUC"
"ATF6_extended (52g)","STA","ECM-remodeling VSMC",0.00974051282051282
"ATF6_extended (52g)","STA","metabolic-stress VSMC",0.00680410256410256
"BACH1_extended (246g)","Ruptured","contractile VSMC",0.125850427790949
"BACH1_extended (246g)","Ruptured","synthetic VSMC",0.1292398999683
"BACH1_extended (246g)","Ruptured","inflammatory VSMC",0.242446373850868
"BACH1_extended (246g)","Ruptured","ECM-remodeling VSMC",0.189436499829758
"BACH1_extended (246g)","Ruptured","metabolic-stress VSMC",0.156740627246245
"BACH1_extended (246g)","STA","contractile VSMC",0.0418249914879128
"BACH1_extended (246g)","STA","synthetic VSMC",0.0422437861763704
"BACH1_extended (246g)","STA","inflammatory VSMC",0.169378617637045
"BACH1_extended (246g)","STA","ECM-remodeling VSMC",0.0630354102826013
"BACH1_extended (246g)","STA","metabolic-stress VSMC",0.0391487912836227
"BACH2_extended (38g)","Ruptured","contractile VSMC",0.025607133800444
"BACH2_extended (38g)","Ruptured","synthetic VSMC",0.0189322226429383
"BACH2_extended (38g)","Ruptured","inflammatory VSMC",0.217576675501704
"BACH2_extended (38g)","Ruptured","ECM-remodeling VSMC",0.0249747570364761
"BACH2_extended (38g)","Ruptured","metabolic-stress VSMC",0.0243769896363611
"BACH2_extended (38g)","STA","contractile VSMC",0.0053363624889562
"BACH2_extended (38g)","STA","synthetic VSMC",0.00333585762968573
"BACH2_extended (38g)","STA","inflammatory VSMC",0.139502713618579
"BACH2_extended (38g)","STA","ECM-remodeling VSMC",0.00644452858765619
"BACH2_extended (38g)","STA","metabolic-stress VSMC",0.00279692035845008
"BATF (22g)","Ruptured","contractile VSMC",0.00742554279103554
"BATF (22g)","Ruptured","synthetic VSMC",0.0063504904439276
"BATF (22g)","Ruptured","inflammatory VSMC",0.105047898338221
"BATF (22g)","Ruptured","ECM-remodeling VSMC",0.00684261974584555
"BATF (22g)","Ruptured","metabolic-stress VSMC",0.00691321820354078
"BATF (22g)","STA","contractile VSMC",0.000105571847507331
"BATF (22g)","STA","synthetic VSMC",0.000701857282502444
"BATF (22g)","STA","inflammatory VSMC",0.140541544477028
"BATF (22g)","STA","ECM-remodeling VSMC",0.000109481915933529
"BATF (22g)","STA","metabolic-stress VSMC",0.000289345063538612
"BATF_extended (34g)","Ruptured","contractile VSMC",0.00831009249789606
"BATF_extended (34g)","Ruptured","synthetic VSMC",0.00811359026369168
"BATF_extended (34g)","Ruptured","inflammatory VSMC",0.141338269573564
"BATF_extended (34g)","Ruptured","ECM-remodeling VSMC",0.0110379816262169
"BATF_extended (34g)","Ruptured","metabolic-stress VSMC",0.00724058076999253
"BATF_extended (34g)","STA","contractile VSMC",0.00124365830248183
"BATF_extended (34g)","STA","synthetic VSMC",0.00182366652954888
"BATF_extended (34g)","STA","inflammatory VSMC",0.182296722884958
"BATF_extended (34g)","STA","ECM-remodeling VSMC",0.00109282873988756
"BATF_extended (34g)","STA","metabolic-stress VSMC",0.00105854929384341
"BCL3_extended (26g)","Ruptured","contractile VSMC",0.00370384218127094
"BCL3_extended (26g)","Ruptured","synthetic VSMC",0.00247685632476681
"BCL3_extended (26g)","Ruptured","inflammatory VSMC",0.00603667855323484
"BCL3_extended (26g)","Ruptured","ECM-remodeling VSMC",0.00227118356257429
"BCL3_extended (26g)","Ruptured","metabolic-stress VSMC",0.000707533820116602
"BCL3_extended (26g)","STA","contractile VSMC",0.00573611818644931
"BCL3_extended (26g)","STA","synthetic VSMC",0.00233995584988962
"BCL3_extended (26g)","STA","inflammatory VSMC",0.00835286126676855
"BCL3_extended (26g)","STA","ECM-remodeling VSMC",0.0111343182204109
"BCL3_extended (26g)","STA","metabolic-stress VSMC",0.00275938189845475
"BCL6 (20g)","Ruptured","contractile VSMC",0.00737158885058143
"BCL6 (20g)","Ruptured","synthetic VSMC",0.0137931034482759
"BCL6 (20g)","Ruptured","inflammatory VSMC",0.00948195329087049
"BCL6 (20g)","Ruptured","ECM-remodeling VSMC",0.0282112526539278
"BCL6 (20g)","Ruptured","metabolic-stress VSMC",0.00435244161358811
"BCL6 (20g)","STA","contractile VSMC",0.0281847133757962
"BCL6 (20g)","STA","synthetic VSMC",0.0348407643312102
"BCL6 (20g)","STA","inflammatory VSMC",0.00903397027600849
"BCL6 (20g)","STA","ECM-remodeling VSMC",0.0802547770700637
"BCL6 (20g)","STA","metabolic-stress VSMC",0.0223397027600849
"BCL6_extended (30g)","Ruptured","contractile VSMC",0.0127254571553392
"BCL6_extended (30g)","Ruptured","synthetic VSMC",0.0157791852373133
"BCL6_extended (30g)","Ruptured","inflammatory VSMC",0.00992743764172336
"BCL6_extended (30g)","Ruptured","ECM-remodeling VSMC",0.0298941798941799
"BCL6_extended (30g)","Ruptured","metabolic-stress VSMC",0.0104056437389771
"BCL6_extended (30g)","STA","contractile VSMC",0.032907029478458
"BCL6_extended (30g)","STA","synthetic VSMC",0.0340166288737717
"BCL6_extended (30g)","STA","inflammatory VSMC",0.00964928193499622
"BCL6_extended (30g)","STA","ECM-remodeling VSMC",0.075254724111867
"BCL6_extended (30g)","STA","metabolic-stress VSMC",0.0255389266817838
"BCLAF1_extended (557g)","Ruptured","contractile VSMC",0.178516038646438
"BCLAF1_extended (557g)","Ruptured","synthetic VSMC",0.213315839526611
"BCLAF1_extended (557g)","Ruptured","inflammatory VSMC",0.267993701055499
"BCLAF1_extended (557g)","Ruptured","ECM-remodeling VSMC",0.288932158665305
"BCLAF1_extended (557g)","Ruptured","metabolic-stress VSMC",0.146800401013884
"BCLAF1_extended (557g)","STA","contractile VSMC",0.0891070820565203
"BCLAF1_extended (557g)","STA","synthetic VSMC",0.105122574055158
"BCLAF1_extended (557g)","STA","inflammatory VSMC",0.265531154239019
"BCLAF1_extended (557g)","STA","ECM-remodeling VSMC",0.130388151174668
"BCLAF1_extended (557g)","STA","metabolic-stress VSMC",0.0863568266939053
"BHLHE40_extended (477g)","Ruptured","contractile VSMC",0.274259448416752
"BHLHE40_extended (477g)","Ruptured","synthetic VSMC",0.29143038286781
"BHLHE40_extended (477g)","Ruptured","inflammatory VSMC",0.180248552945182
"BHLHE40_extended (477g)","Ruptured","ECM-remodeling VSMC",0.338855549880831
