"sample","status","AMPK_SIRT1_Score","Inflammation_Score","vsmc_Contractile","vsmc_Synthetic","vsmc_Inflammatory","vsmc_ECM_Remodeling","vsmc_Metabolic_Stress","n_cells"
"ACom_RR","Ruptured",0.0425277325103539,0.926828182646697,-0.235830488072041,0.21654021169743,0.582811420795381,0.0284516105334141,0.158043463108093,1008
"MCA_R1","Ruptured",0.0385394493506608,0.110126115923585,-0.277208784643119,-0.00371212037428716,0.104841921411768,-0.419378439415744,0.049597312503001,539
"MCA_R2","Ruptured",0.00237589446215275,0.336726022508876,-0.0336070756836378,0.510301619075004,0.373647425191414,0.514827019218667,0.160745860622167,1389
"STA1","STA",-0.0808578520717167,-0.173509810014591,-0.0503846069877212,0.401414188639249,-0.27685025034293,0.293550576059924,0.0625506280438191,4285
"STA2","STA",-0.00296552909295332,0.108418114309038,0.0265718768479886,0.444124005548677,0.0459394552125347,0.279705289244535,0.14177807847462,4389
"STA3","STA",-0.00287747042377043,0.317496531846778,1.31318793747469,0.663715942785326,0.196064687936513,0.403179728803609,0.14715098823938,55
