"","ACom_RR","MCA_R1","MCA_R2","STA1","STA2","STA3"
"SLC2A7",1,0,0,2,0,0
"SLC2A5",16,2,5,25,18,0
"GPR157",31,10,17,217,63,1
"MIR34AHG",5,3,23,256,174,0
"LNCTAM34A",1,0,3,128,160,0
"H6PD",51,30,49,946,794,3
"SPSB1",162,89,124,1445,2237,11
"BX323043.1",0,0,0,3,1,0
"LINC02606",3,5,2,32,68,0
"SLC25A33",304,168,130,792,758,11
"TMEM201",32,11,10,102,66,0
"PIK3CD",519,309,148,68,79,0
"PIK3CD-AS2",72,48,24,22,40,0
"CLSTN1",270,227,144,1743,1293,10
"CTNNBIP1",67,36,39,377,346,5
"AL357140.4",2,1,1,5,0,0
"LZIC",164,103,95,1897,1309,9
"AL357140.2",1,1,0,4,3,0
"NMNAT1",10,12,15,316,155,2
"RBP7",10,2,4,34,19,1
"UBE4B",250,226,108,759,522,12
"KIF1B",381,266,217,2213,2323,28
"AL139424.3",5,2,2,6,3,0
"AL139424.2",3,2,0,8,5,1
"PGD",202,57,77,847,642,1
"CENPS",36,26,14,323,204,2
"CORT",3,0,1,16,5,1
"DFFA",98,68,44,766,496,6
"PEX14",203,163,81,509,389,6
"AL139423.2",0,1,0,0,0,0
"CASZ1",65,49,26,28,20,0
"AL139423.1",6,4,4,0,1,0
"C1orf127",0,1,0,2,2,0
"TARDBP",252,201,144,1534,846,14
"MASP2",8,3,1,20,9,0
"AL109811.2",18,5,9,70,14,1
"SRM",333,64,269,4153,2688,5
"EXOSC10",113,94,112,853,643,1
"AL109811.1",23,24,17,101,26,0
"EXOSC10-AS1",1,2,1,6,9,0
"MTOR",106,130,90,582,330,2
"MTOR-AS1",2,3,0,7,2,0
"ANGPTL7",4,0,0,407,534,12
"UBIAD1",73,39,23,303,229,0
"AL031291.1",1,1,0,2,0,0
"DISP3",3,5,1,1,4,0
"AL031731.1",1,2,0,3,0,0
"FBXO2",26,11,11,231,212,4
"FBXO44",39,34,39,542,403,3
"FBXO6",20,13,18,417,296,0
"MAD2L2",106,30,65,868,562,3
"DRAXIN",5,10,6,3,6,1
"AGTRAP",72,22,148,1831,2612,5
"C1orf167",4,0,3,292,264,3
"MTHFR",63,39,37,567,300,6
"CLCN6",48,26,32,399,303,2
"NPPA",3,2,0,5,4,0
"AL021155.5",83,92,55,111,285,4
"KIAA2013",91,29,33,891,431,6
"PLOD1",40,5,82,295,285,2
"AL096840.2",3,0,0,23,37,0
"MFN2",84,44,51,421,237,7
"MIIP",51,12,34,451,380,2
"TNFRSF8",10,9,11,7,17,0
"TNFRSF1B",521,560,249,324,280,10
"VPS13D",466,435,274,2319,1392,15
"DHRS3",324,211,243,5885,2835,8
"AC254633.1",2,0,3,169,428,1
"AADACL4",0,0,0,2,0,0
"AADACL3",0,0,0,1,0,0
"C1orf158",0,0,0,2,0,0
"PRAMEF11",0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0
"LRRC38",1,0,0,2,0,0
"PDPN",255,2,58,680,1804,0
"PRDM2",1265,1077,572,2233,1720,18
"KAZN",71,17,326,3195,2771,8
"AL357873.1",2,0,23,151,215,0
"KAZN-AS1",0,2,14,46,48,0
"AL031293.1",0,0,0,8,0,0
"TMEM51-AS1",0,0,0,4,6,0
"TMEM51",30,5,14,49,25,1
"C1orf195",1,0,2,1,0,0
"FHAD1",26,1,42,26,11,0
"AL031283.2",2,0,2,1,2,0
"AL031283.1",3,1,3,6,54,0
