fate,rho,p,cells,p_adj_BH
contractile VSMC,-0.08605151613499096,1.2470132828230867e-20,11671,1.2470132828230867e-20
synthetic VSMC,-0.13840002193781148,5.2353498841032444e-51,11671,1.308837471025811e-50
inflammatory VSMC,0.19903440129582475,1.4024905703401884e-104,11671,7.012452851700941e-104
ECM-remodeling VSMC,-0.1048634261791407,6.7088873529801e-30,11671,8.386109191225124e-30
metabolic-stress VSMC,-0.11723798883063828,5.339000979412393e-37,11671,8.898334965687322e-37
