fate,beta_AMPK_z,p_AMPK_z,beta_pseudotime,p_pseudotime,cells,p_AMPK_z_adj_BH
contractile VSMC,-8.160776225660651e-4,0.386310844487486,-0.043537345243129966,1.1676375075095258e-10,11600,0.386310844487486
synthetic VSMC,-0.008441903269991752,4.785099234692182e-10,-0.6387752445426761,0,11600,1.1962748086730455e-9
inflammatory VSMC,-0.0011328891232590742,0.11862916272880952,0.9278435921767402,0,11600,0.1482864534110119
ECM-remodeling VSMC,0.006785387238393934,1.0753911632102145e-10,0.017506719501421287,0.020015420766336636,11600,5.376955816051072e-10
metabolic-stress VSMC,0.0036054827774231802,1.8083396506672893e-4,-0.26303772189235847,8.374480784231803e-300,11600,3.013899417778816e-4
