comparison,x,y,spearman_rho,spearman_p
AMPK_SIRT1_score vs Inflammation_score,AMPK_SIRT1_score,Inflammation_score,-0.4011857707509881,0.057786798317303614
AMPK_SIRT1_score vs ECM_score,AMPK_SIRT1_score,ECM_score,-0.8399209486166007,5.367168712484022e-7
