module,group1,group2,p_value,p_label,y.position,measure
AMPK_SIRT1_score,STA,UIA,0.002694262019296012,P = 0.003,1.6384306094653507,module_score
AMPK_SIRT1_score,UIA,RIA,0.5100675275575346,P = 0.510,1.9636516188603643,module_score
AMPK_SIRT1_score,STA,RIA,4.4866804037835273e-4,P = 4.5e-04,2.288872628255378,module_score
Inflammation_score,STA,UIA,0.05764939242959469,P = 0.058,1.6564131885067335,module_score
Inflammation_score,UIA,RIA,0.5100675275575346,P = 0.510,2.184532731754115,module_score
Inflammation_score,STA,RIA,0.008763529230224835,P = 0.009,2.712652275001496,module_score
ECM_score,STA,UIA,0.0026942620192959136,P = 0.003,1.637555396687389,module_score
ECM_score,UIA,RIA,0.21339925437636276,P = 0.213,2.1024807119680564,module_score
ECM_score,STA,RIA,6.243383966984572e-4,P = 6.2e-04,2.5674060272487242,module_score
