gene,spearman_rho,spearman_p,measure
SIRT1,-0.7645751283990548,2.1568961641157344e-5,gene_expression
PRKAA1,0.36875760876984254,0.08336236791979702,gene_expression
PRKAA2,-0.7926962122333019,6.488925769747242e-6,gene_expression
PPARGC1A,-0.7274340742783514,8.385116264705105e-5,gene_expression
TFAM,-0.4196939115639503,0.046186322416254665,gene_expression
IL1B,0.6738448390470504,4.2324658606526105e-4,gene_expression
CCL2,0.5348311793381314,0.00855270363099006,gene_expression
COL1A1,0.8208172960675488,1.6035366018936882e-6,gene_expression
MMP9,0.5857674821322391,0.0033154272507632185,gene_expression
