status,vsmc_state,cells,mean_AMPK,median_AMPK,mean_contractile,mean_inflammatory,mean_ecm,mean_metabolic_stress,mean_transition_pressure
STA,contractile VSMC,2033,-0.06040723279228676,-0.07222163684774502,0.07148035653527993,-0.08121313141802582,0.29199292141076694,0.10526899599970542,-0.48067038217083363
STA,synthetic VSMC,2671,-0.04197697508121208,-0.0545302637293959,-0.056214530363765,-0.138166346678672,0.39787038992651136,0.09782445896534418,0.019708745382252934
STA,inflammatory VSMC,530,-0.04819293924780536,-0.06661285635824835,-0.019311354040910316,0.10551039438809091,-0.30335008296061317,-0.0040676155407843315,-0.6455217190028063
STA,ECM-remodeling VSMC,1103,-0.0031593471637612817,-0.02574544598486106,0.011419427479418277,-0.14567583622682737,0.35499855950133663,0.09839410312308709,-0.2729032868279255
STA,metabolic-stress VSMC,2392,-0.04000603752424056,-0.04567842760338109,-0.010275878761780528,-0.1400430390765261,0.25942488717081436,0.13240504752259824,-0.21716460721182623
Ruptured,contractile VSMC,218,-0.08141973540207881,-0.10707270601283703,0.0325933205262248,0.2772003751530559,1.3299786491306342,0.22951448715211364,1.048569472171281
Ruptured,synthetic VSMC,29,-0.06361386516921795,-0.08228412400577723,0.04723253169960454,0.3477834852359713,1.5693276095308972,0.06380091887502631,1.0105034079038095
Ruptured,inflammatory VSMC,2563,0.03384940098084715,0.02046128403081693,-0.17449803589120255,0.39657694810840427,0.018844417527987756,0.11934422595877117,0.6476356158993678
Ruptured,ECM-remodeling VSMC,24,-0.027217501958264494,-0.06615653136719996,0.14047321471941215,0.19981360701407622,1.4029627946895062,0.11744474338863695,0.4729168580830832
Ruptured,metabolic-stress VSMC,108,0.0028151443998605022,-0.00522577928542145,0.0018258108933670288,0.6602222812220401,0.9069212775541448,0.4395593043655962,1.463190490963532
