status,vsmc_state,cells,gene_SIRT1_mean,gene_SIRT1_pct,gene_PRKAA1_mean,gene_PRKAA1_pct,gene_PRKAA2_mean,gene_PRKAA2_pct,gene_PPARGC1A_mean,gene_PPARGC1A_pct,gene_TFAM_mean,gene_TFAM_pct,gene_FOXO1_mean,gene_FOXO1_pct,gene_FOXO3_mean,gene_FOXO3_pct,gene_STK11_mean,gene_STK11_pct,gene_CAMKK2_mean,gene_CAMKK2_pct,gene_NAMPT_mean,gene_NAMPT_pct,gene_SOD2_mean,gene_SOD2_pct,gene_CAT_mean,gene_CAT_pct,gene_NFE2L2_mean,gene_NFE2L2_pct,gene_HMOX1_mean,gene_HMOX1_pct,gene_TXNIP_mean,gene_TXNIP_pct,gene_ATF3_mean,gene_ATF3_pct,gene_DDIT3_mean,gene_DDIT3_pct
Ruptured,contractile VSMC,218,0.06144339913481538,0.03669724770642202,0.07960623062900964,0.06422018348623854,0.03240698696187297,0.022935779816513763,0,0,0.07460806966548808,0.04128440366972477,0.2398492251812455,0.15137614678899083,0.16372642310422078,0.10091743119266056,0.0472762719195136,0.03211009174311927,0.04690396779552916,0.03669724770642202,0.8022292169520342,0.42660550458715596,1.2220782929073393,0.5321100917431193,0.06194358793574983,0.03211009174311927,0.46145811095936806,0.26146788990825687,0.549507194310753,0.24311926605504589,0.5584917976354647,0.2798165137614679,0.532927504309413,0.2798165137614679,0.3298094496764538,0.17889908256880735
Ruptured,synthetic VSMC,29,0.04880112410020201,0.06896551724137931,0.22428100499880768,0.13793103448275862,0.09345356429809899,0.06896551724137931,0,0,0.018650972581271758,0.034482758620689655,0.5008050176167814,0.2413793103448276,0.0566865494698026,0.034482758620689655,0.18297131827500565,0.10344827586206896,0,0,0.6834328146070914,0.3448275862068966,0.6880603237109598,0.3448275862068966,0,0,0.3801231742890679,0.20689655172413793,0.3359462643830996,0.1724137931034483,0.36623672339731006,0.20689655172413793,0.702267832230194,0.3448275862068966,0.07617080220444943,0.10344827586206896
Ruptured,inflammatory VSMC,2557,0.3773377375472606,0.2663277278060227,0.242005423390484,0.18967540086038326,0.002454155615855948,0.001564333202972233,0,0,0.15219162036321598,0.134141572154869,1.0807378348051189,0.5643332029722331,0.4750439844541123,0.30856472428627296,0.09278768504830642,0.07626124364489636,0.040006309669683354,0.03441533046538913,1.091778099431746,0.5846695346108721,1.271825854076182,0.650762612436449,0.06118392079050539,0.04575674618693782,0.7530460410783327,0.46538912788423936,0.25861890985365465,0.19006648416112631,0.953162997284391,0.5220962064919827,0.5740172689986315,0.3183418068048494,0.3929214863143891,0.27532264372311305
Ruptured,ECM-remodeling VSMC,24,0,0,0.19644188469117968,0.125,0.19756082873326508,0.125,0,0,0,0,0.7989300857460945,0.375,0.5074489950011833,0.2916666666666667,0.06968805704631328,0.08333333333333333,0,0,0.8889108663666704,0.4166666666666667,1.0272921921441633,0.5416666666666666,0.045379312529128434,0.041666666666666664,0.5996300278715742,0.3333333333333333,0.04536841434350783,0.041666666666666664,0.4875550580695312,0.25,0.944077717397042,0.4583333333333333,0.07946700139510351,0.08333333333333333
Ruptured,metabolic-stress VSMC,108,0.18331205120612937,0.25,0.20118595646099888,0.26851851851851855,0.10057509933557897,0.14814814814814814,0.030198105751975353,0.06481481481481481,0.2743884038974646,0.37037037037037035,0.7450263088000313,0.6574074074074074,0.45114579239378183,0.4537037037037037,0.10041914650241074,0.2037037037037037,0.08435451460088271,0.14814814814814814,1.7008951670640666,0.8888888888888888,2.0438534303347375,0.9074074074074074,0.08434112298813248,0.12037037037037036,0.7444632220572296,0.6574074074074074,1.254294299053009,0.6481481481481481,0.6449442523890452,0.5370370370370371,0.9552203547578506,0.6296296296296297,0.48238375411549467,0.4351851851851852
STA,contractile VSMC,2033,0.14256702241408944,0.1367437284800787,0.24986626417631772,0.22872602065912445,0.034348571825796884,0.034923757993113626,0.01577231963025676,0.015248401377274963,0.2648159311925213,0.23856369896704377,0.3378283290483546,0.27397934087555337,0.4357230911395338,0.34677816035415643,0.095742347436096,0.09296606000983768,0.10868079459406138,0.1042793900639449,1.0571994222316685,0.6330545991146089,1.417399420536507,0.7127397934087555,0.3635782918298558,0.31677324151500247,1.0520028910017285,0.7009345794392523,0.09310672686831567,0.08509591736350221,1.9221806684651446,0.8568617806197737,0.5641037462748053,0.3910477127397934,0.5955606012896405,0.4303984259714707
STA,synthetic VSMC,2671,0.18332568305408042,0.19468363908648445,0.34350001623492327,0.34294271808311494,0.019496134146849885,0.02358667165855485,0.049088404956705904,0.05241482590789966,0.29838614250573714,0.3148633470610258,0.6688678342633628,0.5533508049419693,0.5953966036119994,0.5069262448521153,0.08828557772864426,0.10295769374766005,0.11668305819923243,0.13028828154249344,0.9466252265406301,0.6398352676900038,1.3269996605738645,0.7663796330962186,0.4315960515149998,0.41669786596780234,1.02679135354872,0.7656308498689629,0.104216111409447,0.11231748408835641,2.2858428897025695,0.9595657057281917,0.621484954128109,0.45563459378509924,0.4873147084132229,0.42156495694496443
STA,inflammatory VSMC,530,0.17346632135797693,0.11132075471698114,0.18635147904117055,0.11320754716981132,0,0,0,0,0.12318129436207284,0.07735849056603773,0.5493807898553509,0.28679245283018867,0.3401022267238858,0.19245283018867926,0.11061947185759972,0.062264150943396226,0.034563099712597356,0.018867924528301886,0.5162983942920745,0.25849056603773585,0.48404374742175404,0.27358490566037735,0.06838016417030789,0.0509433962264151,0.36007370580630704,0.2037735849056604,0.008456783557616018,0.005660377358490566,1.5029456237410046,0.6358490566037736,0.3607736048228863,0.19245283018867926,0.4200859000382331,0.22830188679245284
STA,ECM-remodeling VSMC,1103,0.20123362814448947,0.17951042611060744,0.35021680018655843,0.2991840435176791,0.05243576069730578,0.04623753399818677,0.02430759012111682,0.019945602901178604,0.27956391427896404,0.24388032638259294,0.58810750189802,0.4097914777878513,0.6764438109416203,0.46781504986400724,0.09599270283429615,0.09247506799637353,0.1290297449503799,0.11695376246600181,1.1410366821052285,0.5802357207615594,1.304401214455024,0.6799637352674524,0.4184097165179565,0.34542157751586583,1.1759036514108963,0.7416137805983681,0.06985918206968532,0.061650045330915684,2.3811243089003873,0.9048050770625566,0.43325212011484787,0.2810516772438803,0.42777862732316396,0.3318223028105168
STA,metabolic-stress VSMC,2392,0.20641741194278643,0.2382943143812709,0.34563344505955035,0.3754180602006689,0.02842911076203042,0.036371237458193977,0.06242409767955398,0.07232441471571906,0.33566098515970333,0.36998327759197325,0.44012023940469824,0.4243311036789298,0.3952585694597959,0.3867056856187291,0.11366922230934816,0.14339464882943143,0.11580563817077953,0.14088628762541805,1.3081571656843727,0.7976588628762542,1.4345295025549953,0.8076923076923077,0.4531730197968552,0.45735785953177255,1.300263394842493,0.879180602006689,0.1287288732645603,0.14423076923076922,1.9950801882911104,0.9134615384615384,0.634232150617271,0.4882943143812709,0.7260697876207415,0.572324414715719
