status,vsmc_state,cells,Core_AMPK_SIRT1_zmean,AMPK_SIRT1_with_antioxidant_zmean,Antioxidant_stress_response_zmean,Mito_homeostasis_zmean
Ruptured,contractile VSMC,218,-0.2738663676287125,-0.3319584111755577,-0.24926295154885275,-0.2803019040017024
Ruptured,synthetic VSMC,29,-0.190566019703177,-0.3452988657318038,-0.46321590230763016,-0.21921876935945206
Ruptured,inflammatory VSMC,2557,0.005936906312733311,-0.05153310382652553,-0.21368361305879952,-0.051779312756603225
Ruptured,ECM-remodeling VSMC,24,-0.05828599413713382,-0.13195973625443466,-0.4011763243489773,-0.03427662899058115
Ruptured,metabolic-stress VSMC,108,0.09773940962350476,0.08421567111000405,0.25194037312397205,0.03887318527478788
STA,contractile VSMC,2033,-0.06278196755976374,-0.03746921910567234,0.04817576063773428,-0.04975836720918618
STA,synthetic VSMC,2671,0.03225333789640964,0.049921468176448866,0.08778305364186467,0.059928040226967474
STA,inflammatory VSMC,530,-0.19121651697187303,-0.3432445003862576,-0.4264794628839524,-0.18333741932311767
STA,ECM-remodeling VSMC,1103,0.06758662537871572,0.08884981791857337,0.0642646786594587,0.09184086138379172
STA,metabolic-stress VSMC,2392,0.046112982884284406,0.09912775108413092,0.17714516173515568,0.05593660528775627
Unruptured,inflammatory VSMC,6,-0.1878089060674087,-0.3563625321714192,-0.7351091790678518,-0.05897257246848635
