vsmc_state,cells,mean_AMPK,median_AMPK,mean_transition_pressure
inflammatory VSMC,3093,0.019791062694010476,0.008070086888636335,0.42604706514018503
ECM-remodeling VSMC,1127,-0.0036716769907959553,-0.02614242893343066,-0.2570206927925535
metabolic-stress VSMC,2500,-0.0381561624651194,-0.04475409166007638,-0.14457326697065076
synthetic VSMC,2700,-0.042209371308083256,-0.05467932355146651,0.03035061397970669
contractile VSMC,2251,-0.0624422063902142,-0.07653441473916359,-0.3325698542958532
