variable,rho,p,n,p_adj_BH
Contractile_score,-0.39285714285714274,0.38331687042697266,7,0.49283597626325076
Inflammatory_score,0.8928571428571427,0.006807187408935435,7,0.061264686680418914
ECM_score,-0.17857142857142855,0.7016579425162729,7,0.7016579425162729
MetabolicStress_score,0.4999999999999999,0.2531699951003227,7,0.49283597626325076
Transition_pressure,0.7142857142857142,0.07134356146753773,7,0.3210460266039198
contractile VSMC,-0.28571428571428564,0.5345092286010411,7,0.6013228821761712
inflammatory VSMC,0.39285714285714274,0.38331687042697277,7,0.49283597626325076
ECM-remodeling VSMC,-0.46848748060169054,0.2889967715971478,7,0.49283597626325076
metabolic-stress VSMC,-0.39285714285714274,0.38331687042697266,7,0.49283597626325076
