vsmc_state,cells,Core_AMPK_SIRT1_zmean,AMPK_SIRT1_with_antioxidant_zmean,Antioxidant_stress_response_zmean,Mito_homeostasis_zmean
contractile VSMC,2251,-0.0832246149231715,-0.06598927413509705,0.01937005683645664,-0.07208555113667109
synthetic VSMC,2700,0.02986009294441408,0.04567650903447134,0.08186491670759233,0.05692979671659482
inflammatory VSMC,3093,-0.028222094403439407,-0.10211054215395113,-0.2511586708678475,-0.07433636288221718
ECM-remodeling VSMC,1127,0.0649061081929301,0.08414757364159715,0.05435289155013975,0.0891551295568308
metabolic-stress VSMC,2500,0.048343244519418724,0.09848354922924864,0.18037631486715255,0.05519946554319603
