tf,status,vsmc_state,mean_NES
REL,STA,ECM-remodeling VSMC,-1.6383845264176264
REL,STA,metabolic-stress VSMC,-1.5681353662757975
REL,Ruptured,contractile VSMC,0.29811939414032407
REL,Ruptured,synthetic VSMC,0.201599649667207
REL,Ruptured,inflammatory VSMC,1.8140769874891907
REL,Ruptured,metabolic-stress VSMC,0.14015949886744053
RELA,STA,contractile VSMC,-1.702816056305571
RELA,STA,synthetic VSMC,-1.837164818710459
RELA,STA,inflammatory VSMC,1.2547715361692844
RELA,STA,ECM-remodeling VSMC,-2.8573655523480874
RELA,STA,metabolic-stress VSMC,-1.8408815238017078
RELA,Ruptured,contractile VSMC,1.1658784735281826
RELA,Ruptured,synthetic VSMC,0.429744758209806
RELA,Ruptured,inflammatory VSMC,1.9643200837917023
RELA,Ruptured,metabolic-stress VSMC,1.5301903381279929
STAT1,STA,contractile VSMC,0.6666486005663701
STAT1,STA,synthetic VSMC,0.3004495385215214
STAT1,STA,inflammatory VSMC,-0.31351759315204436
STAT1,STA,ECM-remodeling VSMC,0.28027784336687184
STAT1,STA,metabolic-stress VSMC,0.8014817110155138
STAT1,Ruptured,contractile VSMC,0.8104851709963959
STAT1,Ruptured,synthetic VSMC,-0.0377019397962396
STAT1,Ruptured,inflammatory VSMC,-0.022182818097608074
STAT1,Ruptured,metabolic-stress VSMC,-0.3473889964703666
STAT3,STA,contractile VSMC,2.899191600390346
STAT3,STA,synthetic VSMC,2.3348601683496155
STAT3,STA,inflammatory VSMC,1.6006199263902339
STAT3,STA,ECM-remodeling VSMC,2.2517236256038604
STAT3,STA,metabolic-stress VSMC,2.8488136245710654
STAT3,Ruptured,contractile VSMC,2.847660929747998
STAT3,Ruptured,synthetic VSMC,2.75057053849223
STAT3,Ruptured,inflammatory VSMC,1.210210636632097
STAT3,Ruptured,metabolic-stress VSMC,2.956912109272428
