variable,rho_with_AMPK_SIRT1,p,cells,p_adj_BH
Contractile,-0.0702050899769471,3.126266535461985e-14,11671,3.647310958038983e-14
Synthetic,-0.0652505300746175,1.7144235259880752e-12,11671,1.7144235259880752e-12
Inflammatory,0.26954821175327104,2.0113478771639153e-193,11671,1.4079435140147407e-192
ECM,-0.08205742453586495,6.753260486166727e-19,11671,9.454564680633418e-19
MetabolicStress,0.11932957037361594,2.8074337868093063e-38,11671,4.913009126916286e-38
TransitionPressure,0.15992940544440126,1.0219826374985025e-67,11671,2.3846261541631727e-67
InflammationModule,0.18910680661581222,2.0667666939841807e-94,11671,7.233683428944632e-94
