sample,status,n_cells,AMPK_SIRT1,Contractile_score,Inflammatory_score,ECM_score,MetabolicStress_score,Transition_pressure,contractile VSMC,inflammatory VSMC,ECM-remodeling VSMC,metabolic-stress VSMC,synthetic VSMC
ACom_RR,Ruptured,1008,0.04252773251035394,-0.23583048807204077,0.5828114207953813,0.0284516105334141,0.1580434631080931,1.1076301993103224,0.031746031746031744,0.9375,9.92063492063492e-4,0.02976190476190476,0
MCA_R1,Ruptured,539,0.03853944935066084,-0.27720878464311927,0.10484192141176753,-0.4193784394157441,0.049597312503001006,0.29169056825710604,0.0074211502782931356,0.9907235621521335,0,0.0018552875695732839,0
MCA_R2,Ruptured,1389,0.00237589446215275,-0.03360707568363778,0.3736474251914139,0.5148270192186674,0.1607458606221666,0.5870871035311119,0.13102951763858892,0.7760979121670266,0.01655867530597552,0.05543556515478762,0.02087832973362131
PICA_U,Ruptured,6,-0.021384853972634992,-0.23032315692763383,0.010278733967773295,-0.39438015130359355,-0.21034132743100634,-0.3365065115691252,0,1,0,0,0
STA1,STA,4285,-0.08085785207171667,-0.0503846069877212,-0.27685025034293,0.2935505760599243,0.06255062804381914,-0.2671607666381406,0.23780630105017503,0.03453908984830805,0.1486581096849475,0.33418903150525087,0.24480746791131855
STA2,STA,4389,-0.002965529092953317,0.02657187684798865,0.045939455212534654,0.279705289244535,0.14177807847462037,-0.15613227346650663,0.2253360674413306,0.0861244019138756,0.10457963089542037,0.21485532011847802,0.36910457963089544
STA3,STA,55,-0.00287747042377043,1.3131879374746873,0.19606468793651308,0.40317972880360936,0.14715098823938008,-4.674708575304629,0.45454545454545453,0.07272727272727272,0.12727272727272726,0.3090909090909091,0.03636363636363636
