vsmc_state,n_state,p_wilcox_vs_contractile,median_delta_vs_contractile,p_adj_BH
synthetic VSMC,2700,3.7827482710365326e-8,0.021855091187697073,3.7827482710365326e-8
inflammatory VSMC,3093,7.420848021801271e-73,0.08460450162779992,2.9683392087205086e-72
ECM-remodeling VSMC,1127,5.024971583685911e-21,0.050391985805732925,1.0049943167371822e-20
metabolic-stress VSMC,2500,4.2039927437881295e-13,0.03178032307908721,5.605323658384172e-13
