program,rho_vs_pseudotime,p,cells,p_adj_BH
AMPK_SIRT1_Score,0.12481807297168719,1.6810473854275266e-41,11600,2.0172568625130319e-41
Contractile,-0.14464178423160295,2.8782415944734278e-55,11600,5.7564831889468555e-55
Inflammatory,0.4674781242037766,0,11600,0
ECM,-0.4299800351537667,0,11600,0
MetabolicStress,-0.007628861759934854,0.4113177027581555,11600,0.4113177027581555
TransitionPressure,0.13319615407300245,4.584769074580337e-47,11600,6.877153611870506e-47
